Image_Layer,Total Flux_p/s,Avg Radiance_p/s/cmsq/sr,Stdev_Radiance,Min_Radiance,Max_Radiance,ROI_Label,Comment1,Comment2,Mouse_ID,Organ,Expt,Infection_1,Infection_2,time_point_from_reinf,mouse_sex,bkrd,flux_minus_bkrd
Overlay,5.85E+06,4.54E+04,5.17E+04,-2.15E+03,2.45E+05,C88_NN_liver,,,C88_NN,Liver,1,luc,barcodes,d14,Female,,
Overlay,9.92E+04,7.48E+02,1.24E+03,-1.49E+03,5.33E+03,C89_con_liver,,,C89_con,Liver,Con,NA,barcodes,NA,Female,,
Overlay,2.08E+07,2.42E+05,3.65E+05,-2.36E+03,1.30E+06,C88_RR_spleen,,,C88_RR,Spleen,1,luc,barcodes,d14,Female,,
Overlay,1.60E+07,2.02E+05,3.48E+05,-2.39E+03,1.34E+06,C88_NN_spleen,,,C88_NN,Spleen,1,luc,barcodes,d14,Female,,
Overlay,1.52E+03,3.25E+01,8.76E+02,-1.58E+03,9.52E+03,C89_con_spleen,,,C89_con,Spleen,Con,NA,NA,NA,Female,,
Overlay,6.13E+05,1.67E+04,7.36E+04,-3.03E+02,7.39E+05,C88_NN_LN,,,C88_NN,LN,1,luc,barcodes,d14,Female,,
Overlay,2.03E+05,4.36E+03,1.07E+04,-1.68E+02,7.60E+04,C88_RR_BM1,,,C88_RR,BM,1,luc,barcodes,d14,Female,,
Overlay,7.09E+04,1.26E+03,2.70E+03,-4.02E+02,1.65E+04,C88_RR_BM1,,,C88_RR,BM,1,luc,barcodes,d14,Female,,
Overlay,1.67E+04,4.15E+02,5.41E+02,-2.95E+02,3.00E+03,C88_RR_GUT,,,C88_RR,Gut,1,luc,barcodes,d14,Female,,
Overlay,6.31E+05,2.56E+04,6.88E+04,-2.25E+02,4.85E+05,C88_RR_LUNG,,,C88_RR,Lung,1,luc,barcodes,d14,Female,,
Overlay,5.05E+03,1.37E+02,1.55E+02,-2.03E+02,7.73E+02,C89_con_LN,,,C89_con,LN,Con,NA,NA,NA,Female,,
Overlay,3.75E+05,1.04E+04,2.00E+04,-2.71E+02,1.20E+05,C88_NN_LUNG,,,C88_NN,Lung,1,luc,barcodes,d14,Female,,
Overlay,1.01E+04,2.58E+02,2.93E+02,-5.22E+02,1.59E+03,C88_NN_GUT,,,C88_NN,Gut,1,luc,barcodes,d14,Female,,
Overlay,3.03E+04,9.26E+02,1.36E+03,-2.33E+02,1.26E+04,C88_NN_BM1,,,C88_NN,BM,1,luc,barcodes,d14,Female,,
Overlay,1.63E+04,6.10E+02,9.49E+02,-3.05E+02,7.00E+03,C88_NN_BM2,,,C88_NN,BM,1,luc,barcodes,d14,Female,,
Overlay,6.12E+03,1.39E+02,1.43E+02,-3.02E+02,6.39E+02,C89_con_LUNG,,,C89_con,Lung,Con,NA,NA,NA,Female,,
Overlay,7.23E+03,1.48E+02,1.63E+02,-3.22E+02,6.48E+02,C89_con_GUT,,,C89_con,Gut,Con,NA,NA,NA,Female,,
Overlay,8.76E+03,2.73E+02,2.82E+02,-3.18E+02,1.59E+03,C89_con_BM1,,,C89_con,BM,Con,NA,NA,NA,Female,,
Overlay,7.06E+03,1.62E+02,2.28E+02,-4.43E+02,1.74E+03,C89_con_BM2,,,C89_con,BM,Con,NA,NA,NA,Female,,
Overlay,1.23E+05,8.89E+02,1.38E+03,-3870,8.42E+03,Liver M12,M6 Con top+M12 M13 bottom 5 min,CL11.24_1 d2 reinfection,M12,Liver,4,barcodes,none,NA,Female,,
Overlay,3.53E+06,3.20E+04,3.56E+04,-2470,1.44E+05,Liver M6,M6 Con top+M12 M13 bottom 5 min,CL11.24_1 d2 reinfection,M6,Liver,4,barcodes,luc,d02,Female,,
Overlay,5.84E+04,8.29E+02,1.16E+03,-3820,5.33E+03,Liver M13,M6 Con top+M12 M13 bottom 5 min,CL11.24_1 d2 reinfection,M13,Liver,4,barcodes,none,NA,Female,,
Overlay,7.40E+04,8.95E+02,1.03E+03,-2450,5.51E+03,Liver Con,M6 Con top+M12 M13 bottom 5 min,CL11.24_1 d2 reinfection,Con,Liver,Con,NA,NA,NA,Female,,
Overlay,2.33E+07,2.63E+05,2.96E+05,-2130,9.62E+05,Liver M9,M7 M8 top+M9 M14 bottom 5 min+,CL11.24_1 d2 reinfection,M9,Liver,4,barcodes,luc,d02,Female,,
Overlay,1.41E+06,1.59E+04,1.63E+04,-2860,6.71E+04,Liver M7,M7 M8 top+M9 M14 bottom 5 min+,CL11.24_1 d2 reinfection,M7,Liver,4,barcodes,luc,d02,Female,,
Overlay,2.12E+05,1.60E+03,1.70E+03,-3470,1.07E+04,Liver M8,M7 M8 top+M9 M14 bottom 5 min+,CL11.24_1 d2 reinfection,M8,Liver,4,barcodes,luc,d02,Female,,
Overlay,4.02E+04,7.47E+02,1.05E+03,-3570,6.27E+03,Liver M14,M7 M8 top+M9 M14 bottom 5 min+,CL11.24_1 d2 reinfection,M14,Liver,4,barcodes,none,NA,Female,,
Overlay,4.29E+05,5.33E+03,4.60E+03,-3200,2.87E+04,Liver M10,M10 M11+,CL11.24_1 d2 reinfection,M10,Liver,4,barcodes,luc,d02,Female,,
Overlay,5.57E+06,6.80E+04,4.16E+04,-1610,1.76E+05,Liver M11,M10 M11+,CL11.24_1 d2 reinfection,M11,Liver,4,barcodes,luc,d02,Female,,
Overlay,2.19E+07,3.08E+05,2.44E+05,-2360,1.15E+06,Liver M17,M15 M16 top+M17 M21 bottom,CL11.24_1 d14 reinfection,M17,Liver,4,barcodes,luc,d14,Female,,
Overlay,9.08E+04,1.28E+03,1.78E+03,-2720,1.07E+04,Liver M21,M15 M16 top+M17 M21 bottom,CL11.24_1 d14 reinfection,M21,Liver,4,barcodes,none,NA,Female,,
Overlay,6.71E+06,6.89E+04,7.53E+04,-2090,4.43E+05,Liver M15,M15 M16 top+M17 M21 bottom,CL11.24_1 d14 reinfection,M15,Liver,4,barcodes,luc,d14,Female,,
Overlay,4.51E+06,6.35E+04,6.04E+04,-2470,2.59E+05,Liver M16,M15 M16 top+M17 M21 bottom,CL11.24_1 d14 reinfection,M16,Liver,4,barcodes,luc,d14,Female,,
Overlay,4.13E+07,4.67E+05,3.68E+05,-2050,1.47E+06,Liver M26,M22 M23 top+M26 M27 bottom+skin,CL11.24_1 d14 reinfection,M26,Liver,4,none,luc,NA,Female,,
Overlay,3.37E+06,2.70E+04,3.81E+04,-3060,2.59E+05,Liver M22,M22 M23 top+M26 M27 bottom+skin,CL11.24_1 d14 reinfection,M22,Liver,4,barcodes,none,NA,Female,,
Overlay,1.14E+05,1.34E+03,1.25E+03,-2870,5.62E+03,Liver M23,M22 M23 top+M26 M27 bottom+skin,CL11.24_1 d14 reinfection,M23,Liver,4,barcodes,none,NA,Female,,
Overlay,2.34E+08,2.19E+06,2.69E+06,-49.4,1.26E+07,Liver M27,M22 M23 top+M26 M27 bottom+skin,CL11.24_1 d14 reinfection,M27,Liver,4,none,luc,NA,Female,,
Overlay,8.85E+04,9.67E+02,1.30E+03,-3900,5.43E+03,Liver Con6,Con6 Con8 top+Con6 Con8 bottom+skin,CL11.24_1 d14 reinfection,Con6,Liver,Con,NA,NA,NA,Female,,
Overlay,1.09E+05,1.33E+03,1.45E+03,-3200,7.71E+03,Liver Con8,Con6 Con8 top+Con6 Con8 bottom+skin,CL11.24_1 d14 reinfection,Con8,Liver,Con,NA,NA,NA,Female,,
Overlay,1.46E+04,3.87E+02,9.22E+02,-2770,7.79E+03,Spleen Con6,Con6 Con8 top+Con6 Con8 bottom+skin,CL11.24_1 d14 reinfection,Con6,Spleen,Con,NA,NA,NA,Female,,
Overlay,1.29E+04,5.16E+02,1.07E+03,-2660,5.52E+03,Spleen Con8,Con6 Con8 top+Con6 Con8 bottom+skin,CL11.24_1 d14 reinfection,Con8,Spleen,Con,NA,NA,NA,Female,,
Overlay,1.60E+06,1.63E+04,1.99E+04,-3180,1.12E+05,Liver M19,M18 M19 top+M20 M24 bottom+,CL11.24_1 d15 reinfection,M19,Liver,4,barcodes,luc,d14,Female,,
Overlay,9.47E+06,1.05E+05,1.13E+05,-2480,4.78E+05,Liver M18,M18 M19 top+M20 M24 bottom+,CL11.24_1 d15 reinfection,M18,Liver,4,barcodes,luc,d14,Female,,
Overlay,5.64E+04,6.26E+02,1.12E+03,-3700,5.06E+03,Liver M24,M18 M19 top+M20 M24 bottom+,CL11.24_1 d15 reinfection,M24,Liver,4,barcodes,none,NA,Female,,
Overlay,1.97E+07,2.26E+05,2.34E+05,-2000,9.93E+05,Liver M20,M18 M19 top+M20 M24 bottom+,CL11.24_1 d15 reinfection,M20,Liver,4,barcodes,luc,d14,Female,,
Overlay,4.49E+06,5.09E+04,4.45E+04,-1830,2.29E+05,Liver M30,M25 M28 top+M29 M30 bottom++,CL11.24_1 d15 reinfection,M30,Liver,4,none,luc,NA,Female,,
Overlay,2.67E+05,2.90E+03,3.12E+03,-2290,3.87E+04,Liver M25,M25 M28 top+M29 M30 bottom++,CL11.24_1 d15 reinfection,M25,Liver,4,barcodes,none,NA,Female,,
Overlay,3.14E+08,2.55E+06,3.33E+06,2.57E+02,1.20E+07,Liver M29,M25 M28 top+M29 M30 bottom++,CL11.24_1 d15 reinfection,M29,Liver,4,none,luc,NA,Female,,
Overlay,1.76E+05,7.73E+03,1.58E+04,-1850,1.02E+05,LN M28,M25 M28 top+M29 M30 bottom++,CL11.24_1 d15 reinfection,M28,LN,4,none,luc,NA,Female,,
Overlay,1.55E+05,1.57E+03,1.87E+03,-3000,9.12E+03,Liver Con 7,Con 7 Con 9 top+Con 7 Con 9 bottom++,CL11.24_1 d15 reinfection,Con7,Liver,Con,NA,NA,NA,Female,,
Overlay,1.02E+05,1.03E+03,1.20E+03,-4180,6.39E+03,Liver Con 9,Con 7 Con 9 top+Con 7 Con 9 bottom++,CL11.24_1 d15 reinfection,Con9,Liver,Con,NA,NA,NA,Female,,
Overlay,2.52E+04,3.21E+02,1.09E+03,-3670,1.68E+04,BM Con6,Con6 Con8 top+Con6 Con8 bottom+skin,CL11.24_1 d14 reinfection,Con6,BM,Con,NA,NA,NA,Female,,
Overlay,3.06E+04,3.57E+02,8.59E+02,-2990,3.24E+03,BM Con8,Con6 Con8 top+Con6 Con8 bottom+skin,CL11.24_1 d14 reinfection,Con8,BM,Con,NA,NA,NA,Female,,
Overlay,6.09E+03,2.53E+02,7.69E+02,-2100,3.12E+03,LN Con6,Con6 Con8 top+Con6 Con8 bottom+skin,CL11.24_1 d14 reinfection,Con6,LN,Con,NA,NA,NA,Female,,
Overlay,1.25E+04,5.00E+02,9.11E+02,-2610,3.79E+03,LN Con8,Con6 Con8 top+Con6 Con8 bottom+skin,CL11.24_1 d14 reinfection,Con8,LN,Con,NA,NA,NA,Female,,
Overlay,1.69E+04,4.17E+02,8.65E+02,-2560,3.53E+03,Lung Con8,Con6 Con8 top+Con6 Con8 bottom+skin,CL11.24_1 d14 reinfection,Con8,Lung,Con,NA,NA,NA,Female,,
Overlay,8.58E+03,4.82E+02,9.32E+02,-2930,3.81E+03,Gut Con8,Con6 Con8 top+Con6 Con8 bottom+skin,CL11.24_1 d14 reinfection,Con8,Gut,Con,NA,NA,NA,Female,,
Overlay,6.66E+03,3.07E+02,8.35E+02,-2580,3.37E+03,Gut Con6,Con6 Con8 top+Con6 Con8 bottom+skin,CL11.24_1 d14 reinfection,Con6,Gut,Con,NA,NA,NA,Female,,
Overlay,7.50E+03,2.05E+02,8.91E+02,-3250,3.81E+03,Lung Con6,Con6 Con8 top+Con6 Con8 bottom+skin,CL11.24_1 d14 reinfection,Con6,Lung,Con,NA,NA,NA,Female,,
Overlay,9.76E+03,3.19E+02,1.07E+03,-2650,3.67E+03,LN M10,M10 M11+,CL11.24_1 d2 reinfection,M10,LN,4,barcodes,luc,d02,Female,,
Overlay,1.23E+04,4.46E+02,1.03E+03,-2690,4.10E+03,LN M11,M10 M11+,CL11.24_1 d2 reinfection,M11,LN,4,barcodes,luc,d02,Female,,
Overlay,6.80E+03,3.96E+02,1.16E+03,-3030,3.63E+03,Lung M10,M10 M11+,CL11.24_1 d2 reinfection,M10,Lung,4,barcodes,luc,d02,Female,,
Overlay,1.10E+04,6.29E+02,1.50E+03,-2820,1.84E+04,Gut M11,M10 M11+,CL11.24_1 d2 reinfection,M11,Gut,4,barcodes,luc,d02,Female,,
Overlay,3.42E+04,4.24E+02,9.94E+02,-3050,6.23E+03,Spleen M10,M10 M11+,CL11.24_1 d2 reinfection,M10,Spleen,4,barcodes,luc,d02,Female,,
Overlay,1.06E+05,1.31E+03,1.65E+03,-3050,1.25E+04,Spleen M11,M10 M11+,CL11.24_1 d2 reinfection,M11,Spleen,4,barcodes,luc,d02,Female,,
Overlay,7.79E+03,3.04E+02,1.02E+03,-3170,3.51E+03,Gut M10,M10 M11+,CL11.24_1 d2 reinfection,M10,Gut,4,barcodes,luc,d02,Female,,
Overlay,1.38E+04,6.24E+02,1.09E+03,-2620,9.92E+03,Lung M11,M10 M11+,CL11.24_1 d2 reinfection,M11,Lung,4,barcodes,luc,d02,Female,,
Overlay,2.57E+04,5.89E+02,1.19E+03,-3200,2.00E+04,BM M10,M10 M11+,CL11.24_1 d2 reinfection,M10,BM,4,barcodes,luc,d02,Female,,
Overlay,9.36E+04,1.40E+03,1.63E+03,-3610,1.16E+04,BM M11,M10 M11+,CL11.24_1 d2 reinfection,M11,BM,4,barcodes,luc,d02,Female,,
Overlay,1.10E+04,2.93E+02,8.97E+02,-2980,3.68E+03,Lung Con 7,Con 7 Con 9 top+Con 7 Con 9 bottom++,CL11.24_1 d15 reinfection,Con7,Lung,Con,NA,NA,NA,Female,,
Overlay,1.56E+04,4.19E+02,7.87E+02,-1850,3.50E+03,Lung Con 9,Con 7 Con 9 top+Con 7 Con 9 bottom++,CL11.24_1 d15 reinfection,Con9,Lung,Con,NA,NA,NA,Female,,
Overlay,3.50E+04,3.46E+02,9.84E+02,-3520,4.36E+03,BM Con 7,Con 7 Con 9 top+Con 7 Con 9 bottom++,CL11.24_1 d15 reinfection,Con7,BM,Con,NA,NA,NA,Female,,
Overlay,4.11E+04,4.16E+02,8.85E+02,-3120,4.12E+03,BM Con 9,Con 7 Con 9 top+Con 7 Con 9 bottom++,CL11.24_1 d15 reinfection,Con9,BM,Con,NA,NA,NA,Female,,
Overlay,9.42E+03,3.10E+02,1.04E+03,-3190,1.28E+04,Spleen Con 7,Con 7 Con 9 top+Con 7 Con 9 bottom++,CL11.24_1 d15 reinfection,Con7,Spleen,Con,NA,NA,NA,Female,,
Overlay,9.18E+03,4.69E+02,9.56E+02,-2300,3.66E+03,Spleen Con 9,Con 7 Con 9 top+Con 7 Con 9 bottom++,CL11.24_1 d15 reinfection,Con9,Spleen,Con,NA,NA,NA,Female,,
Overlay,1.29E+04,5.05E+02,1.07E+03,-3270,6.36E+03,Gut Con 7,Con 7 Con 9 top+Con 7 Con 9 bottom++,CL11.24_1 d15 reinfection,Con7,Gut,Con,NA,NA,NA,Female,,
Overlay,1.36E+04,4.94E+02,9.52E+02,-2980,3.71E+03,Gut Con 9,Con 7 Con 9 top+Con 7 Con 9 bottom++,CL11.24_1 d15 reinfection,Con9,Gut,Con,NA,NA,NA,Female,,
Overlay,5.87E+03,3.83E+02,1.19E+03,-3640,4.67E+03,LN Con 7,Con 7 Con 9 top+Con 7 Con 9 bottom++,CL11.24_1 d15 reinfection,Con7,LN,Con,NA,NA,NA,Female,,
Overlay,2.90E+04,6.35E+02,1.13E+03,-2510,6.84E+03,LN Con 9,Con 7 Con 9 top+Con 7 Con 9 bottom++,CL11.24_1 d15 reinfection,Con9,LN,Con,NA,NA,NA,Female,,
Overlay,1.35E+03,3.26E+01,9.19E+02,-3690,3.89E+03,Spleen M12,M6 Con top+M12 M13 bottom 5 min,CL11.24_1 d2 reinfection,M12,Spleen,4,barcodes,none,NA,Female,,
Overlay,9.52E+04,1.77E+03,2.27E+03,-3130,1.45E+04,Spleen M6,M6 Con top+M12 M13 bottom 5 min,CL11.24_1 d2 reinfection,M6,Spleen,4,barcodes,luc,d02,Female,,
Overlay,9.19E+03,2.00E+02,9.28E+02,-3160,3.52E+03,BM M13,M6 Con top+M12 M13 bottom 5 min,CL11.24_1 d2 reinfection,M13,BM,4,barcodes,none,NA,Female,,
Overlay,1.09E+04,4.79E+02,9.09E+02,-2780,4.19E+03,Spleen Con,M6 Con top+M12 M13 bottom 5 min,CL11.24_1 d2 reinfection,Con,Spleen,Con,NA,NA,NA,Female,,
Overlay,-937,-26.7,7.95E+02,-2480,2.42E+03,Gut M12,M6 Con top+M12 M13 bottom 5 min,CL11.24_1 d2 reinfection,M12,Gut,4,barcodes,none,NA,Female,,
Overlay,2.77E+04,5.92E+02,9.21E+02,-2350,9.96E+03,Lung M6,M6 Con top+M12 M13 bottom 5 min,CL11.24_1 d2 reinfection,M6,Lung,4,barcodes,luc,d02,Female,,
Overlay,5.87E+03,2.09E+02,9.67E+02,-3320,3.25E+03,Gut M13,M6 Con top+M12 M13 bottom 5 min,CL11.24_1 d2 reinfection,M13,Gut,4,barcodes,none,NA,Female,,
Overlay,2.70E+04,4.33E+02,8.33E+02,-2370,3.43E+03,BM Con,M6 Con top+M12 M13 bottom 5 min,CL11.24_1 d2 reinfection,Con,BM,Con,NA,NA,NA,Female,,
Overlay,1.88E+04,2.28E+02,8.26E+02,-2960,4.33E+03,BM M12,M6 Con top+M12 M13 bottom 5 min,CL11.24_1 d2 reinfection,M12,BM,4,barcodes,none,NA,Female,,
Overlay,2.04E+04,6.02E+02,9.24E+02,-2240,4.67E+03,Gut M6,M6 Con top+M12 M13 bottom 5 min,CL11.24_1 d2 reinfection,M6,Gut,4,barcodes,luc,d02,Female,,
Overlay,4.39E+03,1.79E+02,8.73E+02,-2570,2.84E+03,LN M13,M6 Con top+M12 M13 bottom 5 min,CL11.24_1 d2 reinfection,M13,LN,4,barcodes,none,NA,Female,,
Overlay,1.08E+04,4.06E+02,9.34E+02,-2760,3.72E+03,Lung Con,M6 Con top+M12 M13 bottom 5 min,CL11.24_1 d2 reinfection,Con,Lung,Con,NA,NA,NA,Female,,
Overlay,2.26E+03,7.73E+01,1.02E+03,-3150,1.32E+04,LN M12,M6 Con top+M12 M13 bottom 5 min,CL11.24_1 d2 reinfection,M12,LN,4,barcodes,none,NA,Female,,
Overlay,7.34E+04,7.21E+02,1.07E+03,-3080,5.28E+03,BM M6,M6 Con top+M12 M13 bottom 5 min,CL11.24_1 d2 reinfection,M6,BM,4,barcodes,luc,d02,Female,,
Overlay,4.91E+03,2.19E+02,9.01E+02,-2520,5.47E+03,Spleen M13,M6 Con top+M12 M13 bottom 5 min,CL11.24_1 d2 reinfection,M13,Spleen,4,barcodes,none,NA,Female,,
Overlay,2.02E+04,7.31E+02,1.04E+03,-2950,4.89E+03,LN Con,M6 Con top+M12 M13 bottom 5 min,CL11.24_1 d2 reinfection,Con,LN,Con,NA,NA,NA,Female,,
Overlay,5.70E+03,1.55E+02,1.02E+03,-3590,3.13E+03,Lung M12,M6 Con top+M12 M13 bottom 5 min,CL11.24_1 d2 reinfection,M12,Lung,4,barcodes,none,NA,Female,,
Overlay,1.11E+04,4.58E+02,8.78E+02,-2880,3.96E+03,LN M6,M6 Con top+M12 M13 bottom 5 min,CL11.24_1 d2 reinfection,M6,LN,4,barcodes,luc,d02,Female,,
Overlay,2.18E+03,5.16E+01,9.03E+02,-3350,3.13E+03,Lung M13,M6 Con top+M12 M13 bottom 5 min,CL11.24_1 d2 reinfection,M13,Lung,4,barcodes,none,NA,Female,,
Overlay,1.72E+04,4.90E+02,9.91E+02,-3550,4.41E+03,Gut Con,M6 Con top+M12 M13 bottom 5 min,CL11.24_1 d2 reinfection,Con,Gut,Con,NA,NA,NA,Female,,
Overlay,4.69E+05,1.74E+04,2.14E+04,-1810,1.73E+05,Spleen M9,M7 M8 top+M9 M14 bottom 5 min+,CL11.24_1 d2 reinfection,M9,Spleen,4,barcodes,luc,d02,Female,,
Overlay,8.47E+04,2.33E+03,3.04E+03,-2330,2.11E+04,Spleen M7,M7 M8 top+M9 M14 bottom 5 min+,CL11.24_1 d2 reinfection,M7,Spleen,4,barcodes,luc,d02,Female,,
Overlay,1.19E+04,5.29E+02,1.19E+03,-3240,1.59E+04,Gut M8,M7 M8 top+M9 M14 bottom 5 min+,CL11.24_1 d2 reinfection,M8,Gut,4,barcodes,luc,d02,Female,,
Overlay,4.27E+03,1.50E+02,9.23E+02,-3530,3.66E+03,LungM14,M7 M8 top+M9 M14 bottom 5 min+,CL11.24_1 d2 reinfection,M14,Lung,4,barcodes,none,NA,Female,,
Overlay,3.93E+05,7.45E+03,1.78E+04,-2660,2.49E+05,Lung M9,M7 M8 top+M9 M14 bottom 5 min+,CL11.24_1 d2 reinfection,M9,Lung,4,barcodes,luc,d02,Female,,
Overlay,1.78E+04,6.47E+02,1.23E+03,-2730,5.21E+03,Gut M7,M7 M8 top+M9 M14 bottom 5 min+,CL11.24_1 d2 reinfection,M7,Gut,4,barcodes,luc,d02,Female,,
Overlay,2.86E+04,4.80E+02,9.63E+02,-2730,5.27E+03,Spleen M8,M7 M8 top+M9 M14 bottom 5 min+,CL11.24_1 d2 reinfection,M8,Spleen,4,barcodes,luc,d02,Female,,
Overlay,6.16E+03,1.74E+02,9.47E+02,-4270,3.75E+03,Gut M14,M7 M8 top+M9 M14 bottom 5 min+,CL11.24_1 d2 reinfection,M14,Gut,4,barcodes,none,NA,Female,,
Overlay,2.55E+04,1.00E+03,1.63E+03,-3390,8.70E+03,Gut M9,M7 M8 top+M9 M14 bottom 5 min+,CL11.24_1 d2 reinfection,M9,Gut,4,barcodes,luc,d02,Female,,
Overlay,3.08E+04,5.59E+02,1.09E+03,-3830,6.64E+03,Lung M7,M7 M8 top+M9 M14 bottom 5 min+,CL11.24_1 d2 reinfection,M7,Lung,4,barcodes,luc,d02,Female,,
Overlay,1.47E+04,4.72E+02,1.03E+03,-2000,1.21E+04,Lung M8,M7 M8 top+M9 M14 bottom 5 min+,CL11.24_1 d2 reinfection,M8,Lung,4,barcodes,luc,d02,Female,,
Overlay,5.76E+03,1.51E+02,8.35E+02,-2990,3.34E+03,Spleen M14,M7 M8 top+M9 M14 bottom 5 min+,CL11.24_1 d2 reinfection,M14,Spleen,4,barcodes,none,NA,Female,,
Overlay,2.58E+04,6.77E+02,1.63E+03,-4210,9.28E+03,LN M9,M7 M8 top+M9 M14 bottom 5 min+,CL11.24_1 d2 reinfection,M9,LN,4,barcodes,luc,d02,Female,,
Overlay,6.85E+04,7.89E+02,1.06E+03,-3590,8.83E+03,BM M7,M7 M8 top+M9 M14 bottom 5 min+,CL11.24_1 d2 reinfection,M7,BM,4,barcodes,luc,d02,Female,,
Overlay,6.19E+04,6.61E+02,1.04E+03,-3470,7.49E+03,BM M8,M7 M8 top+M9 M14 bottom 5 min+,CL11.24_1 d2 reinfection,M8,BM,4,barcodes,luc,d02,Female,,
Overlay,3.81E+03,1.44E+02,8.61E+02,-2510,2.67E+03,LN M14,M7 M8 top+M9 M14 bottom 5 min+,CL11.24_1 d2 reinfection,M14,LN,4,barcodes,none,NA,Female,,
Overlay,1.26E+05,1.16E+03,2.20E+03,-2460,2.09E+04,BM M9,M7 M8 top+M9 M14 bottom 5 min+,CL11.24_1 d2 reinfection,M9,BM,4,barcodes,luc,d02,Female,,
Overlay,1.18E+04,2.65E+02,8.23E+02,-2440,2.93E+03,LN M7,M7 M8 top+M9 M14 bottom 5 min+,CL11.24_1 d2 reinfection,M7,LN,4,barcodes,luc,d02,Female,,
Overlay,1.12E+04,3.83E+02,1.08E+03,-3190,7.19E+03,LN M8,M7 M8 top+M9 M14 bottom 5 min+,CL11.24_1 d2 reinfection,M8,LN,4,barcodes,luc,d02,Female,,
Overlay,4.10E+04,4.48E+02,1.22E+03,-4510,2.85E+04,BM M14,M7 M8 top+M9 M14 bottom 5 min+,CL11.24_1 d2 reinfection,M14,BM,4,barcodes,none,NA,Female,,
Overlay,1.53E+05,4.01E+03,7.73E+03,-2990,4.02E+04,Lung M17,M15 M16 top+M17 M21 bottom,CL11.24_1 d14 reinfection,M17,Lung,4,barcodes,luc,d14,Female,,
Overlay,2.54E+03,7.44E+01,7.88E+02,-2760,2.61E+03,Lung M21,M15 M16 top+M17 M21 bottom,CL11.24_1 d14 reinfection,M21,Lung,4,barcodes,none,NA,Female,,
Overlay,2.59E+04,1.40E+03,3.05E+03,-2340,2.86E+04,LN M15,M15 M16 top+M17 M21 bottom,CL11.24_1 d14 reinfection,M15,LN,4,barcodes,luc,d14,Female,,
Overlay,1.94E+05,4.53E+03,4.99E+03,-2920,2.73E+04,Spleen M16,M15 M16 top+M17 M21 bottom,CL11.24_1 d14 reinfection,M16,Spleen,4,barcodes,luc,d14,Female,,
Overlay,6.16E+03,3.29E+02,1.31E+03,-2160,1.11E+04,LN M17,M15 M16 top+M17 M21 bottom,CL11.24_1 d14 reinfection,M17,LN,4,barcodes,luc,d14,Female,,
Overlay,4.38E+03,1.60E+02,1.01E+03,-3410,7.27E+03,Gut M21,M15 M16 top+M17 M21 bottom,CL11.24_1 d14 reinfection,M21,Gut,4,barcodes,none,NA,Female,,
Overlay,7.54E+05,1.14E+04,1.33E+04,-2380,8.19E+04,Spleen M15,M15 M16 top+M17 M21 bottom,CL11.24_1 d14 reinfection,M15,Spleen,4,barcodes,luc,d14,Female,,
Overlay,1.62E+04,5.99E+02,9.42E+02,-2530,4.04E+03,LN M16,M15 M16 top+M17 M21 bottom,CL11.24_1 d14 reinfection,M16,LN,4,barcodes,luc,d14,Female,,
Overlay,4.10E+05,8.03E+03,1.04E+04,-4600,5.94E+04,Spleen M17,M15 M16 top+M17 M21 bottom,CL11.24_1 d14 reinfection,M17,Spleen,4,barcodes,luc,d14,Female,,
Overlay,3.92E+04,7.22E+02,1.47E+03,-3070,1.77E+04,Spleen M21,M15 M16 top+M17 M21 bottom,CL11.24_1 d14 reinfection,M21,Spleen,4,barcodes,none,NA,Female,,
Overlay,2.96E+04,5.97E+02,1.09E+03,-3040,6.17E+03,Gut M15,M15 M16 top+M17 M21 bottom,CL11.24_1 d14 reinfection,M15,Gut,4,barcodes,luc,d14,Female,,
Overlay,3.11E+04,6.23E+02,9.07E+02,-2310,5.17E+03,Lung M16,M15 M16 top+M17 M21 bottom,CL11.24_1 d14 reinfection,M16,Lung,4,barcodes,luc,d14,Female,,
Overlay,3.01E+04,6.70E+02,1.57E+03,-2470,8.42E+03,Gut M17,M15 M16 top+M17 M21 bottom,CL11.24_1 d14 reinfection,M17,Gut,4,barcodes,luc,d14,Female,,
Overlay,2.28E+04,5.97E+02,1.35E+03,-2790,6.99E+03,LN M21,M15 M16 top+M17 M21 bottom,CL11.24_1 d14 reinfection,M21,LN,4,barcodes,none,NA,Female,,
Overlay,9.99E+04,9.64E+02,1.78E+03,-4000,3.05E+04,BM M15,M15 M16 top+M17 M21 bottom,CL11.24_1 d14 reinfection,M15,BM,4,barcodes,luc,d14,Female,,
Overlay,1.19E+04,5.99E+02,9.06E+02,-2470,2.97E+03,Gut M16,M15 M16 top+M17 M21 bottom,CL11.24_1 d14 reinfection,M16,Gut,4,barcodes,luc,d14,Female,,
Overlay,8.39E+04,1.49E+03,2.26E+03,-2830,2.81E+04,BM M17,M15 M16 top+M17 M21 bottom,CL11.24_1 d14 reinfection,M17,BM,4,barcodes,luc,d14,Female,,
Overlay,1.41E+04,1.95E+02,8.91E+02,-3140,3.32E+03,BM M21,M15 M16 top+M17 M21 bottom,CL11.24_1 d14 reinfection,M21,BM,4,barcodes,none,NA,Female,,
