"","matched","unmatched","canonical"
"INPUT1A_90_1.txt",2135312,67332,2112195
"INPUT1B_90_1.txt",2458201,77135,2427735
"INPUT1C_90_1.txt",1591653,50771,1573194
"INPUT2A_90_1.txt",2399792,82473,2367163
"INPUT2B_90_1.txt",2481857,83338,2447229
"INPUT2C_90_1.txt",1900351,64607,1877159
"M10BM1_90_1.txt",1112419,37728,1101518
"M10BM2_90_1.txt",898445,30283,896808
"M10GUT_90_1.txt",1027680,32143,1019779
"M10L_90_1.txt",1541774,50765,1522532
"M10LN1_90_1.txt",163935,5256,163284
"M10LN2_90_1.txt",999061,33660,992039
"M10LUNG_90_1.txt",1533650,72905,1438786
"M10S_90_1.txt",1399725,45056,1386673
"M11BM1_90_1.txt",1764976,59390,1746422
"M11BM2_90_1.txt",2024963,65336,2002683
"M11GUT_90_1.txt",2049,65,1909
"M11L_90_1.txt",1279871,42822,1259131
"M11LN1_90_1.txt",829075,27138,814129
"M11LN2_90_1.txt",991331,31741,976215
"M11LUNG_90_1.txt",983293,33037,945736
"M11S_90_1.txt",1070365,34553,1060399
"M12BM1_90_1.txt",1549065,52386,1531509
"M12BM2_90_1.txt",1769933,57997,1752591
"M12GUT_90_1.txt",5243,182,5017
"M12L_90_1.txt",1560178,50460,1544151
"M12LN1_90_1.txt",1074797,38065,1035529
"M12LN2_90_1.txt",919693,29105,878716
"M12LUNG_90_1.txt",2017613,84755,1950070
"M12S_90_1.txt",14106,410,13716
"M12SKIN1_90_1.txt",2045547,69977,2021918
"M12SKIN10_90_1.txt",942016,35256,924140
"M12SKIN11_90_1.txt",1123552,38671,1085977
"M12SKIN12_90_1.txt",1392305,47511,1327146
"M12SKIN2_90_1.txt",1732254,65306,1698039
"M12SKIN3_90_1.txt",1515704,57923,1466528
"M12SKIN4_90_1.txt",995946,34435,993395
"M12SKIN5_90_1.txt",1406872,57457,1382633
"M12SKIN6_90_1.txt",1642719,55175,1616803
"M12SKIN7_90_1.txt",1101587,40888,1097852
"M12SKIN8_90_1.txt",1124808,37466,1069433
"M12SKIN9_90_1.txt",1016481,36101,1010951
"M13BM1_90_1.txt",3060,96,2645
"M13BM2_90_1.txt",2121702,70932,2098636
"M13GUT_90_1.txt",467662,14723,466591
"M13L_90_1.txt",1012081,32827,1003154
"M13LN1_90_1.txt",934532,32073,932697
"M13LN2_90_1.txt",1054031,35209,1049150
"M13LUNG_90_1.txt",1068715,38437,1024812
"M13S_90_1.txt",141590,4595,141270
"M13SKIN1_90_1.txt",1998474,69091,1954711
"M13SKIN10_90_1.txt",1032352,35861,994425
"M13SKIN11_90_1.txt",1114789,38024,1061017
"M13SKIN12_90_1.txt",1828302,72874,1793940
"M13SKIN2_90_1.txt",1162636,43331,1133465
"M13SKIN3_90_1.txt",756575,25938,754963
"M13SKIN4_90_1.txt",1519364,65565,1480762
"M13SKIN5_90_1.txt",1129344,38694,1123406
"M13SKIN6_90_1.txt",2182011,83887,2128615
"M13SKIN7_90_1.txt",1178595,42707,1156794
"M13SKIN8_90_1.txt",953474,32915,950733
"M13SKIN9_90_1.txt",1047446,37196,1024202
"M14BM1_90_1.txt",915805,29886,908527
"M14BM2_90_1.txt",1007654,33165,1000893
"M14GUT_90_1.txt",686365,29923,682998
"M14L_90_1.txt",6096,207,5779
"M14LN1_90_1.txt",4657,285,4202
"M14LN2_90_1.txt",1105352,35617,1059472
"M14LUNG_90_1.txt",1122287,41494,1111933
"M14S_90_1.txt",1309025,41936,1296511
"M14SKIN1_90_1.txt",1217454,41894,1159513
"M14SKIN10_90_1.txt",1023931,34532,991731
"M14SKIN11_90_1.txt",1133112,43228,1127963
"M14SKIN12_90_1.txt",1386093,47953,1338790
"M14SKIN2_90_1.txt",975684,50867,950798
"M14SKIN3_90_1.txt",836325,38775,817288
"M14SKIN4_90_1.txt",1038343,34041,920827
"M14SKIN5_90_1.txt",950576,29368,927954
"M14SKIN6_90_1.txt",990142,33973,911786
"M14SKIN7_90_1.txt",850247,29277,805699
"M14SKIN8_90_1.txt",963818,39017,950045
"M14SKIN9_90_1.txt",980624,43876,976861
"M15BM1_90_1.txt",2035052,67349,2003228
"M15BM2_90_1.txt",2158688,73247,2135971
"M15GUT_90_1.txt",964124,30593,957610
"M15L_90_1.txt",2311078,74670,2281519
"M15LN1_90_1.txt",857655,26874,850710
"M15LN2_90_1.txt",888213,27957,882497
"M15LUNG_90_1.txt",1944627,64359,1917632
"M15S_90_1.txt",2480404,78859,2450415
"M15SKIN1_90_1.txt",1050074,37705,1018147
"M15SKIN2_90_1.txt",1114442,48154,1068501
"M15SKIN3_90_1.txt",2311074,96664,2233523
"M15SKIN4_90_1.txt",1038656,42159,1020633
"M15SKIN5_90_1.txt",1376946,52380,1346970
"M15SKIN6_90_1.txt",1002896,33331,978973
"M16BM1_90_1.txt",1936183,76327,1891263
"M16BM2_90_1.txt",669690,23114,664876
"M16GUT_90_1.txt",2569,93,2378
"M16L_90_1.txt",997706,33903,994784
"M16LN1_90_1.txt",734249,24913,689462
"M16LN2_90_1.txt",819516,28598,796770
"M16LUNG_90_1.txt",921291,39468,910405
"M16S_90_1.txt",4426,140,4037
"M16SKIN1_90_1.txt",1117139,40992,1090471
"M16SKIN2_90_1.txt",937121,32430,921999
"M16SKIN3_90_1.txt",2106229,73861,2021647
"M16SKIN4_90_1.txt",949502,36143,924455
"M16SKIN5_90_1.txt",1315720,54508,1286304
"M16SKIN6_90_1.txt",1324679,44099,1302326
"M17BM1_90_1.txt",1735046,58421,1687868
"M17BM2_90_1.txt",1366183,47279,1351000
"M17GUT_90_1.txt",452696,14266,448846
"M17L_90_1.txt",986507,34025,975481
"M17LN1_90_1.txt",355835,11486,353705
"M17LN2_90_1.txt",741175,23628,719467
"M17LUNG_90_1.txt",877037,29039,867501
"M17S_90_1.txt",144492,4541,144020
"M17SKIN1_90_1.txt",992492,52763,980348
"M17SKIN2_90_1.txt",1229320,42769,1177164
"M17SKIN3_90_1.txt",1619295,59814,1576773
"M17SKIN4_90_1.txt",955208,36729,933025
"M17SKIN5_90_1.txt",1423861,51345,1387123
"M17SKIN6_90_1.txt",1306451,52712,1280269
"M18BM1_90_1.txt",1594565,54584,1578074
"M18BM2_90_1.txt",1541660,53040,1529346
"M18GUT_90_1.txt",244512,7789,244226
"M18L_90_1.txt",1471174,49715,1457688
"M18LN1_90_1.txt",1190674,41137,1162323
"M18LN2_90_1.txt",496363,16017,495771
"M18LUNG_90_1.txt",1236925,41702,1193075
"M18S_90_1.txt",960150,30374,951755
"M18SKIN1_90_1.txt",1077311,42272,1062947
"M18SKIN2_90_1.txt",1291280,50787,1255420
"M18SKIN3_90_1.txt",1759290,67020,1686454
"M18SKIN4_90_1.txt",933646,40987,906713
"M18SKIN5_90_1.txt",1205542,42680,1180208
"M18SKIN6_90_1.txt",1328118,46289,1291319
"M19BM1_90_1.txt",256076,9360,255199
"M19BM2_90_1.txt",912850,30243,906940
"M19GUT_90_1.txt",2589,78,2379
"M19L_90_1.txt",677720,37596,659840
"M19LN1_90_1.txt",779592,40618,757513
"M19LN2_90_1.txt",17389,605,16962
"M19LUNG_90_1.txt",1075409,36843,1040734
"M19S_90_1.txt",975552,33091,966139
"M19SKIN1_90_1.txt",992707,39986,974086
"M19SKIN2_90_1.txt",1940158,66016,1853943
"M19SKIN3_90_1.txt",1921211,80475,1854524
"M19SKIN4_90_1.txt",1056591,38440,1020839
"M19SKIN5_90_1.txt",912878,31378,893620
"M19SKIN6_90_1.txt",1492750,52936,1456698
"M1BM1_90_1.txt",1729173,60446,1707017
"M1BM2_90_1.txt",1672508,58865,1654695
"M1GUT_90_1.txt",541983,18357,537634
"M1L_90_1.txt",2260444,78858,2228797
"M1LN1_90_1.txt",1011417,37853,981843
"M1LN2_90_1.txt",895016,44922,835929
"M1LUNG_90_1.txt",1303362,51131,1268380
"M1S_90_1.txt",88826,2918,88343
"M1SKIN1_90_1.txt",1051772,35452,1018795
"M1SKIN10_90_1.txt",954432,32737,950414
"M1SKIN11_90_1.txt",907060,39757,880034
"M1SKIN12_90_1.txt",933325,32472,910671
"M1SKIN2_90_1.txt",867586,28820,822209
"M1SKIN3_90_1.txt",904260,31241,867794
"M1SKIN4_90_1.txt",1053240,36202,998656
"M1SKIN5_90_1.txt",851565,29782,817118
"M1SKIN6_90_1.txt",1004437,37073,939407
"M1SKIN7_90_1.txt",1307287,44402,1282362
"M1SKIN8_90_1.txt",1820795,66892,1783593
"M1SKIN9_90_1.txt",813325,29037,796435
