"","matched","unmatched","canonical"
"INPUT1A_75_5.txt",1778507,56182,1758654
"INPUT1B_75_5.txt",2047814,64124,2024326
"INPUT1C_75_5.txt",1325664,42420,1311534
"INPUT2A_75_5.txt",1999033,68619,1974228
"INPUT2B_75_5.txt",2067407,69336,2040000
"INPUT2C_75_5.txt",1582831,53743,1562884
"M10BM1_75_5.txt",926425,31366,916939
"M10BM2_75_5.txt",748085,25280,747282
"M10GUT_75_5.txt",855696,26655,849972
"M10L_75_5.txt",1284141,42400,1270155
"M10LN1_75_5.txt",136440,4354,135884
"M10LN2_75_5.txt",831957,28002,825978
"M10LUNG_75_5.txt",1277637,60662,1199826
"M10S_75_5.txt",1165732,37584,1155217
"M11BM1_75_5.txt",1469995,49402,1454036
"M11BM2_75_5.txt",1686619,54576,1668935
"M11GUT_75_5.txt",1700,57,1587
"M11L_75_5.txt",1065842,35769,1050496
"M11LN1_75_5.txt",690449,22614,678152
"M11LN2_75_5.txt",825525,26426,814105
"M11LUNG_75_5.txt",818843,27505,789287
"M11S_75_5.txt",891198,28748,883831
"M12BM1_75_5.txt",1290237,43772,1275426
"M12BM2_75_5.txt",1473939,48431,1459530
"M12GUT_75_5.txt",4326,155,4124
"M12L_75_5.txt",1299617,42092,1287574
"M12LN1_75_5.txt",894875,31731,863429
"M12LN2_75_5.txt",765831,24258,731734
"M12LUNG_75_5.txt",1680713,70561,1629568
"M12S_75_5.txt",11724,338,11400
"M12SKIN1_75_5.txt",1703742,58520,1684788
"M12SKIN10_75_5.txt",784527,29312,769705
"M12SKIN11_75_5.txt",935631,32227,905421
"M12SKIN12_75_5.txt",1159618,39567,1106328
"M12SKIN2_75_5.txt",1442759,54343,1417199
"M12SKIN3_75_5.txt",1262486,48272,1224303
"M12SKIN4_75_5.txt",829371,28632,827215
"M12SKIN5_75_5.txt",1171707,47896,1151572
"M12SKIN6_75_5.txt",1368171,46047,1347081
"M12SKIN7_75_5.txt",917087,34277,914529
"M12SKIN8_75_5.txt",936607,31295,890676
"M12SKIN9_75_5.txt",846220,30141,842787
"M13BM1_75_5.txt",2554,78,2201
"M13BM2_75_5.txt",1767338,58999,1749498
"M13GUT_75_5.txt",389344,12195,388888
"M13L_75_5.txt",842805,27254,836567
"M13LN1_75_5.txt",778345,26617,776804
"M13LN2_75_5.txt",877645,29256,873666
"M13LUNG_75_5.txt",889762,32055,852643
"M13S_75_5.txt",117799,3809,117508
"M13SKIN1_75_5.txt",1664514,57630,1630122
"M13SKIN10_75_5.txt",859454,29884,827858
"M13SKIN11_75_5.txt",928389,31611,883663
"M13SKIN12_75_5.txt",1522566,60765,1493890
"M13SKIN2_75_5.txt",968203,36219,944311
"M13SKIN3_75_5.txt",629991,21633,628661
"M13SKIN4_75_5.txt",1265650,54567,1234678
"M13SKIN5_75_5.txt",940350,32386,935973
"M13SKIN6_75_5.txt",1817528,69836,1777159
"M13SKIN7_75_5.txt",981580,35665,963239
"M13SKIN8_75_5.txt",794036,27399,792809
"M13SKIN9_75_5.txt",872065,30961,852693
"M14BM1_75_5.txt",762581,24896,756742
"M14BM2_75_5.txt",838929,27725,833341
"M14GUT_75_5.txt",571407,25011,569258
"M14L_75_5.txt",5032,176,4762
"M14LN1_75_5.txt",3842,246,3465
"M14LN2_75_5.txt",920342,29787,882679
"M14LUNG_75_5.txt",934629,34525,926006
"M14S_75_5.txt",1090288,34889,1081123
"M14SKIN1_75_5.txt",1014076,34838,966527
"M14SKIN10_75_5.txt",852551,28652,828070
"M14SKIN11_75_5.txt",943600,36021,940391
"M14SKIN12_75_5.txt",1154502,39868,1116483
"M14SKIN2_75_5.txt",812513,42324,791809
"M14SKIN3_75_5.txt",696601,32165,680677
"M14SKIN4_75_5.txt",864442,28377,766383
"M14SKIN5_75_5.txt",791508,24562,773333
"M14SKIN6_75_5.txt",824470,28369,760684
"M14SKIN7_75_5.txt",707960,24469,670760
"M14SKIN8_75_5.txt",802572,32527,791095
"M14SKIN9_75_5.txt",816599,36550,813482
"M15BM1_75_5.txt",1695188,56117,1670192
"M15BM2_75_5.txt",1798134,60975,1780960
"M15GUT_75_5.txt",802851,25467,797384
"M15L_75_5.txt",1924980,62349,1901080
"M15LN1_75_5.txt",714286,22329,708594
"M15LN2_75_5.txt",739602,23371,734858
"M15LUNG_75_5.txt",1619669,53589,1598745
"M15S_75_5.txt",2066113,65712,2044194
"M15SKIN1_75_5.txt",874271,31397,847710
"M15SKIN2_75_5.txt",928095,40073,890267
"M15SKIN3_75_5.txt",1924975,80672,1862178
"M15SKIN4_75_5.txt",864601,35213,851058
"M15SKIN5_75_5.txt",1146862,43559,1121759
"M15SKIN6_75_5.txt",835143,27718,815229
"M16BM1_75_5.txt",1612502,63691,1580502
"M16BM2_75_5.txt",557565,19224,553411
"M16GUT_75_5.txt",2121,84,1962
"M16L_75_5.txt",830768,28249,828431
"M16LN1_75_5.txt",611429,20744,573978
"M16LN2_75_5.txt",682581,23771,664245
"M16LUNG_75_5.txt",767294,32783,758244
"M16S_75_5.txt",3659,124,3333
"M16SKIN1_75_5.txt",930382,34057,908956
"M16SKIN2_75_5.txt",780451,26932,768381
"M16SKIN3_75_5.txt",1754540,61414,1687709
"M16SKIN4_75_5.txt",790631,30207,769951
"M16SKIN5_75_5.txt",1095771,45461,1071620
"M16SKIN6_75_5.txt",1103317,36700,1087385
"M17BM1_75_5.txt",1444924,48793,1407366
"M17BM2_75_5.txt",1137718,39501,1126346
"M17GUT_75_5.txt",376784,11921,373536
"M17L_75_5.txt",821555,28289,814026
"M17LN1_75_5.txt",296111,9559,294324
"M17LN2_75_5.txt",617226,19653,599095
"M17LUNG_75_5.txt",730293,24264,722367
"M17S_75_5.txt",120252,3733,119854
"M17SKIN1_75_5.txt",826494,43849,816978
"M17SKIN2_75_5.txt",1023956,35613,982144
"M17SKIN3_75_5.txt",1348759,49841,1314226
"M17SKIN4_75_5.txt",795587,30397,778114
"M17SKIN5_75_5.txt",1185939,42733,1155706
"M17SKIN6_75_5.txt",1088190,43844,1066808
"M18BM1_75_5.txt",1328171,45524,1316763
"M18BM2_75_5.txt",1284206,44166,1274198
"M18GUT_75_5.txt",203521,6492,203299
"M18L_75_5.txt",1225226,41523,1214917
"M18LN1_75_5.txt",991612,34434,968700
