,INPUT_POOL,OUTPUT_POOL,mouse_ID,FP_100_percent,FP_90_1,FP_90_4,FP_90_3,FP_90_5,FP_90_2,FP_50_1,FP_50_5,FP_50_4,FP_50_3,FP_50_2,FP_75_5,FP_75_1,FP_75_3,FP_75_4,FP_75_2
1110,INPUT_SKIN5_90_5.txt,OUTPUT_SKIN10_90_5.txt,3,0.050995,0.052475508,0.052477125,0.052473769,0.052480482,0.052483714,0.065828391,0.065828391,0.065828391,0.065828391,0.065828391,0.055200099,0.055200099,0.055200099,0.055200099,0.055200099
1111,INPUT_SKIN5_90_5.txt,OUTPUT_SKIN11_90_5.txt,3,0.099247192,0.103209059,0.103193103,0.103186235,0.103187048,0.103213081,0.066067221,0.066067221,0.066067221,0.066067221,0.066067221,0.119966036,0.119968388,0.119967604,0.1199629,0.11996878
1112,INPUT_SKIN5_90_5.txt,OUTPUT_SKIN12_90_5.txt,3,0.226392896,0.16852382,0.168551761,0.168603812,0.168599026,0.168572541,0.330569064,0.330569064,0.330567949,0.330571296,0.330572412,0.276331881,0.276317638,0.276326195,0.276346287,0.276332695
1113,INPUT_SKIN5_90_5.txt,OUTPUT_SKIN2_90_5.txt,3,0.644620158,0.672279381,0.671740595,0.672128922,0.671760113,0.672453211,0.339965686,0.340045464,0.340131044,0.340033834,0.340199244,0.578880279,0.57898173,0.578888276,0.579220917,0.579067349
1114,INPUT_SKIN5_90_5.txt,OUTPUT_SKIN3_90_5.txt,3,0.10015176,0.043289217,0.043294334,0.043311491,0.043300445,0.043306017,0.065807216,0.065807216,0.065807216,0.065807216,0.065807216,0.047619336,0.047611085,0.047602068,0.047602643,0.047611469
1115,INPUT_SKIN5_90_5.txt,OUTPUT_SKIN4_90_5.txt,3,0.507518963,0.447219974,0.447244152,0.447166378,0.447161991,0.447183224,0.357214331,0.357262191,0.357254585,0.357248078,0.357249471,0.440445442,0.440383259,0.440388557,0.440376858,0.4402844
1116,INPUT_SKIN5_90_5.txt,OUTPUT_SKIN5_90_5.txt,3,-469088,-422504.5,-422491.5,-422518.5,-422464.5,-422438.5,-235498,-235498,-235498,-235498,-235498,-352672,-352672,-352672,-352672,-352672
1117,INPUT_SKIN5_90_5.txt,OUTPUT_SKIN6_90_5.txt,3,0.234840536,0.225696303,0.225744239,0.225745073,0.225745595,0.225764898,0.132794948,0.132795205,0.132786136,0.132790751,0.132794168,0.192230856,0.192225849,0.19223334,0.192231836,0.192216819
1118,INPUT_SKIN5_90_5.txt,OUTPUT_SKIN7_90_5.txt,3,0.074890706,0.078098904,0.078101154,0.078096368,0.078108438,0.078113144,0.100139004,0.10013832,0.100138763,0.10013832,0.10013836,0.085136647,0.085136434,0.085136647,0.085137499,0.085134566
1119,INPUT_SKIN5_90_5.txt,OUTPUT_SKIN8_90_5.txt,3,0.060302054,0.066317447,0.066308587,0.06622831,0.066250146,0.066253582,0.089263318,0.089168062,0.08915285,0.089255256,0.089259321,0.068504384,0.068421823,0.068490693,0.06849857,0.068495698
1120,INPUT_SKIN5_90_5.txt,OUTPUT_SKIN9_90_5.txt,3,0.031383618,0.032459803,0.032460802,0.032458727,0.032462877,0.032464876,0.036018059,0.036018059,0.036018059,0.036018059,0.036018059,0.035620415,0.035620415,0.035620415,0.035620415,0.035620415
