"","matched","unmatched","canonical"
"INPUT1A_90_4.txt",2135312,67332,2111248
"INPUT1B_90_4.txt",2458201,77135,2427672
"INPUT1C_90_4.txt",1591653,50771,1574190
"INPUT2A_90_4.txt",2399792,82473,2367363
"INPUT2B_90_4.txt",2481857,83338,2447600
"INPUT2C_90_4.txt",1900351,64607,1876775
"M10BM1_90_4.txt",1112419,37728,1101430
"M10BM2_90_4.txt",898445,30283,896817
"M10GUT_90_4.txt",1027680,32143,1019782
"M10L_90_4.txt",1541774,50765,1522569
"M10LN1_90_4.txt",163935,5256,163284
"M10LN2_90_4.txt",999061,33660,992062
"M10LUNG_90_4.txt",1533650,72905,1438787
"M10S_90_4.txt",1399725,45056,1386387
"M11BM1_90_4.txt",1764976,59390,1745279
"M11BM2_90_4.txt",2024963,65336,2002040
"M11GUT_90_4.txt",2049,65,1909
"M11L_90_4.txt",1279871,42822,1259017
"M11LN1_90_4.txt",829075,27138,814395
"M11LN2_90_4.txt",991331,31741,975886
"M11LUNG_90_4.txt",983293,33037,945840
"M11S_90_4.txt",1070365,34553,1060250
"M12BM1_90_4.txt",1549065,52386,1531281
"M12BM2_90_4.txt",1769933,57997,1752217
"M12GUT_90_4.txt",5243,182,5017
"M12L_90_4.txt",1560178,50460,1544487
"M12LN1_90_4.txt",1074797,38065,1035520
"M12LN2_90_4.txt",919693,29105,878696
"M12LUNG_90_4.txt",2017613,84755,1950794
"M12S_90_4.txt",14106,410,13716
"M12SKIN1_90_4.txt",2045547,69977,2022357
"M12SKIN10_90_4.txt",942016,35256,924166
"M12SKIN11_90_4.txt",1123552,38671,1086029
"M12SKIN12_90_4.txt",1392305,47511,1326957
"M12SKIN2_90_4.txt",1732254,65306,1697216
"M12SKIN3_90_4.txt",1515704,57923,1467012
"M12SKIN4_90_4.txt",995946,34435,993503
"M12SKIN5_90_4.txt",1406872,57457,1382539
"M12SKIN6_90_4.txt",1642719,55175,1617013
"M12SKIN7_90_4.txt",1101587,40888,1097833
"M12SKIN8_90_4.txt",1124808,37466,1069434
"M12SKIN9_90_4.txt",1016481,36101,1010736
"M13BM1_90_4.txt",3060,96,2645
"M13BM2_90_4.txt",2121702,70932,2098302
"M13GUT_90_4.txt",467662,14723,466583
"M13L_90_4.txt",1012081,32827,1003171
"M13LN1_90_4.txt",934532,32073,932697
"M13LN2_90_4.txt",1054031,35209,1049089
"M13LUNG_90_4.txt",1068715,38437,1024419
"M13S_90_4.txt",141590,4595,141270
"M13SKIN1_90_4.txt",1998474,69091,1954590
"M13SKIN10_90_4.txt",1032352,35861,994335
"M13SKIN11_90_4.txt",1114789,38024,1061052
"M13SKIN12_90_4.txt",1828302,72874,1793898
"M13SKIN2_90_4.txt",1162636,43331,1133564
"M13SKIN3_90_4.txt",756575,25938,754963
"M13SKIN4_90_4.txt",1519364,65565,1481248
"M13SKIN5_90_4.txt",1129344,38694,1123472
"M13SKIN6_90_4.txt",2182011,83887,2130335
"M13SKIN7_90_4.txt",1178595,42707,1156635
"M13SKIN8_90_4.txt",953474,32915,950705
"M13SKIN9_90_4.txt",1047446,37196,1024083
"M14BM1_90_4.txt",915805,29886,908938
"M14BM2_90_4.txt",1007654,33165,1000582
"M14GUT_90_4.txt",686365,29923,683079
"M14L_90_4.txt",6096,207,5779
"M14LN1_90_4.txt",4657,285,4202
"M14LN2_90_4.txt",1105352,35617,1059773
"M14LUNG_90_4.txt",1122287,41494,1112045
"M14S_90_4.txt",1309025,41936,1296501
"M14SKIN1_90_4.txt",1217454,41894,1159513
"M14SKIN10_90_4.txt",1023931,34532,991574
"M14SKIN11_90_4.txt",1133112,43228,1128015
"M14SKIN12_90_4.txt",1386093,47953,1338923
"M14SKIN2_90_4.txt",975684,50867,950787
"M14SKIN3_90_4.txt",836325,38775,817284
"M14SKIN4_90_4.txt",1038343,34041,920824
"M14SKIN5_90_4.txt",950576,29368,928108
"M14SKIN6_90_4.txt",990142,33973,911808
"M14SKIN7_90_4.txt",850247,29277,805694
"M14SKIN8_90_4.txt",963818,39017,950045
"M14SKIN9_90_4.txt",980624,43876,976881
"M15BM1_90_4.txt",2035052,67349,2002987
"M15BM2_90_4.txt",2158688,73247,2135862
"M15GUT_90_4.txt",964124,30593,957747
"M15L_90_4.txt",2311078,74670,2282445
"M15LN1_90_4.txt",857655,26874,850828
"M15LN2_90_4.txt",888213,27957,882649
"M15LUNG_90_4.txt",1944627,64359,1917809
"M15S_90_4.txt",2480404,78859,2450447
"M15SKIN1_90_4.txt",1050074,37705,1018131
"M15SKIN2_90_4.txt",1114442,48154,1068418
"M15SKIN3_90_4.txt",2311074,96664,2233265
"M15SKIN4_90_4.txt",1038656,42159,1020505
"M15SKIN5_90_4.txt",1376946,52380,1346844
"M15SKIN6_90_4.txt",1002896,33331,978930
"M16BM1_90_4.txt",1936183,76327,1892459
"M16BM2_90_4.txt",669690,23114,664969
"M16GUT_90_4.txt",2569,93,2378
"M16L_90_4.txt",997706,33903,994946
"M16LN1_90_4.txt",734249,24913,689432
"M16LN2_90_4.txt",819516,28598,796668
"M16LUNG_90_4.txt",921291,39468,910405
"M16S_90_4.txt",4426,140,4037
"M16SKIN1_90_4.txt",1117139,40992,1090051
"M16SKIN2_90_4.txt",937121,32430,921997
"M16SKIN3_90_4.txt",2106229,73861,2021809
"M16SKIN4_90_4.txt",949502,36143,924466
"M16SKIN5_90_4.txt",1315720,54508,1286193
"M16SKIN6_90_4.txt",1324679,44099,1302219
"M17BM1_90_4.txt",1735046,58421,1688901
"M17BM2_90_4.txt",1366183,47279,1351330
"M17GUT_90_4.txt",452696,14266,448846
"M17L_90_4.txt",986507,34025,975411
"M17LN1_90_4.txt",355835,11486,353705
"M17LN2_90_4.txt",741175,23628,719399
"M17LUNG_90_4.txt",877037,29039,867499
"M17S_90_4.txt",144492,4541,144020
"M17SKIN1_90_4.txt",992492,52763,980246
"M17SKIN2_90_4.txt",1229320,42769,1177052
"M17SKIN3_90_4.txt",1619295,59814,1576734
"M17SKIN4_90_4.txt",955208,36729,933107
"M17SKIN5_90_4.txt",1423861,51345,1387235
"M17SKIN6_90_4.txt",1306451,52712,1280320
"M18BM1_90_4.txt",1594565,54584,1578618
"M18BM2_90_4.txt",1541660,53040,1529852
"M18GUT_90_4.txt",244512,7789,244226
"M18L_90_4.txt",1471174,49715,1458216
"M18LN1_90_4.txt",1190674,41137,1162309
"M18LN2_90_4.txt",496363,16017,495771
"M18LUNG_90_4.txt",1236925,41702,1193076
"M18S_90_4.txt",960150,30374,952168
"M18SKIN1_90_4.txt",1077311,42272,1063779
"M18SKIN2_90_4.txt",1291280,50787,1255656
"M18SKIN3_90_4.txt",1759290,67020,1686276
"M18SKIN4_90_4.txt",933646,40987,906396
"M18SKIN5_90_4.txt",1205542,42680,1180018
"M18SKIN6_90_4.txt",1328118,46289,1291421
"M19BM1_90_4.txt",256076,9360,255199
"M19BM2_90_4.txt",912850,30243,907017
"M19GUT_90_4.txt",2589,78,2379
"M19L_90_4.txt",677720,37596,659838
"M19LN1_90_4.txt",779592,40618,757512
"M19LN2_90_4.txt",17389,605,16962
"M19LUNG_90_4.txt",1075409,36843,1040652
"M19S_90_4.txt",975552,33091,966070
"M19SKIN1_90_4.txt",992707,39986,974080
"M19SKIN2_90_4.txt",1940158,66016,1854021
"M19SKIN3_90_4.txt",1921211,80475,1854445
"M19SKIN4_90_4.txt",1056591,38440,1020801
"M19SKIN5_90_4.txt",912878,31378,893665
"M19SKIN6_90_4.txt",1492750,52936,1456621
