"","matched","unmatched","canonical"
"INPUT1A_75_1.txt",1778507,56182,1758677
"INPUT1B_75_1.txt",2047814,64124,2024000
"INPUT1C_75_1.txt",1325664,42420,1311038
"INPUT2A_75_1.txt",1999033,68619,1974429
"INPUT2B_75_1.txt",2067407,69336,2040380
"INPUT2C_75_1.txt",1582831,53743,1563501
"M10BM1_75_1.txt",926425,31366,917444
"M10BM2_75_1.txt",748085,25280,747282
"M10GUT_75_1.txt",855696,26655,850030
"M10L_75_1.txt",1284141,42400,1269696
"M10LN1_75_1.txt",136440,4354,135884
"M10LN2_75_1.txt",831957,28002,826312
"M10LUNG_75_1.txt",1277637,60662,1199610
"M10S_75_1.txt",1165732,37584,1154504
"M11BM1_75_1.txt",1469995,49402,1454516
"M11BM2_75_1.txt",1686619,54576,1669154
"M11GUT_75_1.txt",1700,57,1587
"M11L_75_1.txt",1065842,35769,1049886
"M11LN1_75_1.txt",690449,22614,678088
"M11LN2_75_1.txt",825525,26426,813820
"M11LUNG_75_1.txt",818843,27505,789287
"M11S_75_1.txt",891198,28748,884059
"M12BM1_75_1.txt",1290237,43772,1275911
"M12BM2_75_1.txt",1473939,48431,1460018
"M12GUT_75_1.txt",4326,155,4124
"M12L_75_1.txt",1299617,42092,1287947
"M12LN1_75_1.txt",894875,31731,863369
"M12LN2_75_1.txt",765831,24258,731679
"M12LUNG_75_1.txt",1680713,70561,1629275
"M12S_75_1.txt",11724,338,11400
"M12SKIN1_75_1.txt",1703742,58520,1685263
"M12SKIN10_75_1.txt",784527,29312,770076
"M12SKIN11_75_1.txt",935631,32227,905407
"M12SKIN12_75_1.txt",1159618,39567,1106078
"M12SKIN2_75_1.txt",1442759,54343,1416519
"M12SKIN3_75_1.txt",1262486,48272,1224204
"M12SKIN4_75_1.txt",829371,28632,827289
"M12SKIN5_75_1.txt",1171707,47896,1151654
"M12SKIN6_75_1.txt",1368171,46047,1347088
"M12SKIN7_75_1.txt",917087,34277,914543
"M12SKIN8_75_1.txt",936607,31295,890697
"M12SKIN9_75_1.txt",846220,30141,842677
"M13BM1_75_1.txt",2554,78,2201
"M13BM2_75_1.txt",1767338,58999,1749682
"M13GUT_75_1.txt",389344,12195,388888
"M13L_75_1.txt",842805,27254,836629
"M13LN1_75_1.txt",778345,26617,776804
"M13LN2_75_1.txt",877645,29256,873512
"M13LUNG_75_1.txt",889762,32055,852934
"M13S_75_1.txt",117799,3809,117508
"M13SKIN1_75_1.txt",1664514,57630,1630245
"M13SKIN10_75_1.txt",859454,29884,827899
"M13SKIN11_75_1.txt",928389,31611,883664
"M13SKIN12_75_1.txt",1522566,60765,1494017
"M13SKIN2_75_1.txt",968203,36219,944212
"M13SKIN3_75_1.txt",629991,21633,628661
"M13SKIN4_75_1.txt",1265650,54567,1235025
"M13SKIN5_75_1.txt",940350,32386,935973
"M13SKIN6_75_1.txt",1817528,69836,1775281
"M13SKIN7_75_1.txt",981580,35665,963234
"M13SKIN8_75_1.txt",794036,27399,792809
"M13SKIN9_75_1.txt",872065,30961,852737
"M14BM1_75_1.txt",762581,24896,756782
"M14BM2_75_1.txt",838929,27725,833103
"M14GUT_75_1.txt",571407,25011,569309
"M14L_75_1.txt",5032,176,4762
"M14LN1_75_1.txt",3842,246,3465
"M14LN2_75_1.txt",920342,29787,882748
"M14LUNG_75_1.txt",934629,34525,925962
"M14S_75_1.txt",1090288,34889,1081085
"M14SKIN1_75_1.txt",1014076,34838,966509
