"","matched","unmatched","canonical"
"INPUT1A_50_1.txt",1186419,37520,1175189
"INPUT1B_50_1.txt",1366053,42997,1352783
"INPUT1C_50_1.txt",884650,28211,877067
"INPUT2A_50_1.txt",1333512,45974,1318286
"INPUT2B_50_1.txt",1379527,46087,1363263
"INPUT2C_50_1.txt",1055757,36011,1044202
"M10BM1_50_1.txt",618175,20892,613198
"M10BM2_50_1.txt",499450,16942,498918
"M10GUT_50_1.txt",571141,17703,568621
"M10L_50_1.txt",856964,28299,848338
"M10LN1_50_1.txt",91291,2892,90916
"M10LN2_50_1.txt",555320,18663,552647
"M10LUNG_50_1.txt",852532,40532,800774
"M10S_50_1.txt",777622,25199,771277
"M11BM1_50_1.txt",980684,32877,971877
"M11BM2_50_1.txt",1124976,36407,1114665
"M11GUT_50_1.txt",1116,32,1035
"M11L_50_1.txt",711127,23856,701515
"M11LN1_50_1.txt",461077,14994,453811
"M11LN2_50_1.txt",551023,17686,545038
"M11LUNG_50_1.txt",546682,18267,526924
"M11S_50_1.txt",594726,19194,589659
"M12BM1_50_1.txt",861051,29182,854137
"M12BM2_50_1.txt",982982,32571,975863
"M12GUT_50_1.txt",2891,95,2757
"M12L_50_1.txt",867089,28213,860334
"M12LN1_50_1.txt",597166,21192,576675
"M12LN2_50_1.txt",511215,16232,489099
"M12LUNG_50_1.txt",1120921,47217,1089794
"M12S_50_1.txt",7837,216,7615
"M12SKIN1_50_1.txt",1136331,39057,1125619
"M12SKIN10_50_1.txt",523733,19536,514874
"M12SKIN11_50_1.txt",624471,21352,604308
"M12SKIN12_50_1.txt",773830,26265,738009
"M12SKIN2_50_1.txt",962436,36224,946813
"M12SKIN3_50_1.txt",842501,32236,818026
"M12SKIN4_50_1.txt",553553,19122,552514
"M12SKIN5_50_1.txt",781694,31990,770242
"M12SKIN6_50_1.txt",912780,30801,899736
"M12SKIN7_50_1.txt",612021,22810,611113
"M12SKIN8_50_1.txt",625079,20772,594473
"M12SKIN9_50_1.txt",564780,20030,562515
"M13BM1_50_1.txt",1698,55,1465
"M13BM2_50_1.txt",1178858,39455,1168696
"M13GUT_50_1.txt",259928,8071,259634
"M13L_50_1.txt",562467,18196,558408
"M13LN1_50_1.txt",519649,17677,518652
"M13LN2_50_1.txt",585725,19564,584183
"M13LUNG_50_1.txt",593713,21476,569017
"M13S_50_1.txt",78897,2548,78635
"M13SKIN1_50_1.txt",1110186,38484,1090033
"M13SKIN10_50_1.txt",573385,20161,553043
"M13SKIN11_50_1.txt",619383,21140,589498
"M13SKIN12_50_1.txt",1015686,40462,997254
"M13SKIN2_50_1.txt",645974,24208,631125
"M13SKIN3_50_1.txt",420476,14498,419589
"M13SKIN4_50_1.txt",844626,36426,825114
"M13SKIN5_50_1.txt",627381,21711,624457
"M13SKIN6_50_1.txt",1212354,46553,1195753
"M13SKIN7_50_1.txt",654934,23805,643643
"M13SKIN8_50_1.txt",530199,18157,529376
"M13SKIN9_50_1.txt",581913,20770,569973
"M14BM1_50_1.txt",509106,16612,505126
"M14BM2_50_1.txt",559894,18544,556249
"M14GUT_50_1.txt",381255,16768,380405
"M14L_50_1.txt",3367,112,3173
"M14LN1_50_1.txt",2540,174,2306
"M14LN2_50_1.txt",614101,19903,589671
"M14LUNG_50_1.txt",623653,23020,619537
"M14S_50_1.txt",727484,23248,721479
"M14SKIN1_50_1.txt",676722,23133,646276
"M14SKIN10_50_1.txt",568951,19107,553706
"M14SKIN11_50_1.txt",629663,23963,628453
"M14SKIN12_50_1.txt",770229,26689,746584
"M14SKIN2_50_1.txt",542305,28275,528429
"M14SKIN3_50_1.txt",465086,21546,454468
"M14SKIN4_50_1.txt",576960,18915,511232
"M14SKIN5_50_1.txt",528328,16463,518579
"M14SKIN6_50_1.txt",550381,18898,507545
"M14SKIN7_50_1.txt",472752,16309,447957
"M14SKIN8_50_1.txt",535802,21644,528156
"M14SKIN9_50_1.txt",545010,24484,543363
"M15BM1_50_1.txt",1130685,37468,1115334
"M15BM2_50_1.txt",1199469,40733,1189518
"M15GUT_50_1.txt",536022,16897,532391
"M15L_50_1.txt",1284230,41627,1271102
"M15LN1_50_1.txt",476924,14962,473095
"M15LN2_50_1.txt",493886,15584,491508
"M15LUNG_50_1.txt",1080386,35713,1067567
"M15S_50_1.txt",1378492,43839,1365377
"M15SKIN1_50_1.txt",583390,21055,566232
"M15SKIN2_50_1.txt",619202,26822,594132
"M15SKIN3_50_1.txt",1284360,53737,1246428
"M15SKIN4_50_1.txt",577079,23443,568064
"M15SKIN5_50_1.txt",765291,29010,749852
"M15SKIN6_50_1.txt",557458,18467,544643
"M16BM1_50_1.txt",1075675,42382,1059174
"M16BM2_50_1.txt",372069,12814,370019
"M16GUT_50_1.txt",1402,59,1302
"M16L_50_1.txt",554506,18858,553863
