"","matched","unmatched","canonical"
"INPUT1A_50_5.txt",1186419,37520,1175715
"INPUT1B_50_5.txt",1366053,42997,1352473
"INPUT1C_50_5.txt",884650,28211,877365
"INPUT2A_50_5.txt",1333512,45974,1318287
"INPUT2B_50_5.txt",1379527,46087,1362867
"INPUT2C_50_5.txt",1055757,36011,1044245
"M10BM1_50_5.txt",618175,20892,613195
"M10BM2_50_5.txt",499450,16942,498918
"M10GUT_50_5.txt",571141,17703,568619
"M10L_50_5.txt",856964,28299,848150
"M10LN1_50_5.txt",91291,2892,90916
"M10LN2_50_5.txt",555320,18663,552664
"M10LUNG_50_5.txt",852532,40532,800725
"M10S_50_5.txt",777622,25199,771197
"M11BM1_50_5.txt",980684,32877,971715
"M11BM2_50_5.txt",1124976,36407,1114524
"M11GUT_50_5.txt",1116,32,1035
"M11L_50_5.txt",711127,23856,701434
"M11LN1_50_5.txt",461077,14994,453844
"M11LN2_50_5.txt",551023,17686,545250
"M11LUNG_50_5.txt",546682,18267,526924
"M11S_50_5.txt",594726,19194,589846
"M12BM1_50_5.txt",861051,29182,853916
"M12BM2_50_5.txt",982982,32571,976065
"M12GUT_50_5.txt",2891,95,2757
"M12L_50_5.txt",867089,28213,860770
"M12LN1_50_5.txt",597166,21192,576667
"M12LN2_50_5.txt",511215,16232,489007
"M12LUNG_50_5.txt",1120921,47217,1089605
"M12S_50_5.txt",7837,216,7615
"M12SKIN1_50_5.txt",1136331,39057,1125826
"M12SKIN10_50_5.txt",523733,19536,514650
"M12SKIN11_50_5.txt",624471,21352,604293
"M12SKIN12_50_5.txt",773830,26265,737988
"M12SKIN2_50_5.txt",962436,36224,946769
"M12SKIN3_50_5.txt",842501,32236,818021
"M12SKIN4_50_5.txt",553553,19122,552514
"M12SKIN5_50_5.txt",781694,31990,770251
"M12SKIN6_50_5.txt",912780,30801,899661
"M12SKIN7_50_5.txt",612021,22810,611113
"M12SKIN8_50_5.txt",625079,20772,594473
"M12SKIN9_50_5.txt",564780,20030,562474
"M13BM1_50_5.txt",1698,55,1465
"M13BM2_50_5.txt",1178858,39455,1168459
"M13GUT_50_5.txt",259928,8071,259634
"M13L_50_5.txt",562467,18196,558380
"M13LN1_50_5.txt",519649,17677,518652
"M13LN2_50_5.txt",585725,19564,584162
"M13LUNG_50_5.txt",593713,21476,568980
"M13S_50_5.txt",78897,2548,78635
"M13SKIN1_50_5.txt",1110186,38484,1090120
"M13SKIN10_50_5.txt",573385,20161,553043
"M13SKIN11_50_5.txt",619383,21140,589486
"M13SKIN12_50_5.txt",1015686,40462,997230
"M13SKIN2_50_5.txt",645974,24208,631174
"M13SKIN3_50_5.txt",420476,14498,419589
"M13SKIN4_50_5.txt",844626,36426,824978
"M13SKIN5_50_5.txt",627381,21711,624457
"M13SKIN6_50_5.txt",1212354,46553,1194899
"M13SKIN7_50_5.txt",654934,23805,643636
"M13SKIN8_50_5.txt",530199,18157,529376
"M13SKIN9_50_5.txt",581913,20770,570013
"M14BM1_50_5.txt",509106,16612,505027
