,INPUT_POOL,OUTPUT_POOL,mouse_ID,FP_100_percent,FP_1,FP_5,FP_4,FP_3,FP_2
1,INPUT_BM1_90_5.txt,OUTPUT_BM1_90_5.txt,1,-947749.5,-475666,-475414,-475375,-475259.5,-475459.5
2,INPUT_BM1_90_5.txt,OUTPUT_BM2_90_5.txt,1,57.4010843,134.6327909,134.8865938,134.7243105,134.8077276,134.796088
3,INPUT_BM1_90_5.txt,OUTPUT_GUT_90_5.txt,1,45.32610104,40.66832762,40.69915668,40.70137154,40.71546661,40.69962744
4,INPUT_BM1_90_5.txt,OUTPUT_L_90_5.txt,1,1002.613638,1207.945021,1206.125595,1206.033824,1204.888733,1207.43706
5,INPUT_BM1_90_5.txt,OUTPUT_LN1_90_5.txt,1,0.222431,0.197898589,0.19812446,0.198045401,0.198111164,0.19801761
6,INPUT_BM1_90_5.txt,OUTPUT_LN2_90_5.txt,1,0.021275068,0.03680123,0.036830346,0.036824001,0.036833798,0.036825301
7,INPUT_BM1_90_5.txt,OUTPUT_LUNG_90_5.txt,1,0.152846515,0.16539287,0.165353885,0.165492044,0.165406116,0.165451974
8,INPUT_BM1_90_5.txt,OUTPUT_S_90_5.txt,1,96.67097283,NA,NA,NA,NA,NA
9,INPUT_BM1_90_5.txt,OUTPUT_SKIN1_90_5.txt,1,0.203908047,0.105222743,0.105278727,0.10528746,0.105313168,0.105268605
10,INPUT_BM1_90_5.txt,OUTPUT_SKIN10_90_5.txt,1,0.052036549,0.04237117,0.042393667,0.042397156,0.042407479,0.042389602
11,INPUT_BM1_90_5.txt,OUTPUT_SKIN11_90_5.txt,1,0.04290563,0.041824826,0.04184896,0.041849941,0.041841119,0.041845835
12,INPUT_BM1_90_5.txt,OUTPUT_SKIN12_90_5.txt,1,0.013528063,0.011872987,0.011879283,0.011880258,0.011883146,0.011878146
13,INPUT_BM1_90_5.txt,OUTPUT_SKIN2_90_5.txt,1,0.061882999,0.033971653,0.033989682,0.033992772,0.034000896,0.033986572
14,INPUT_BM1_90_5.txt,OUTPUT_SKIN3_90_5.txt,1,0.01166524,0.013302337,0.013309089,0.013310724,0.013314323,0.013308118
15,INPUT_BM1_90_5.txt,OUTPUT_SKIN4_90_5.txt,1,0.033182471,0.053751672,0.053777821,0.053782039,0.053797946,0.053772461
16,INPUT_BM1_90_5.txt,OUTPUT_SKIN5_90_5.txt,1,0.142997339,0.119706593,0.119769185,0.119779332,0.119811467,0.119757755
17,INPUT_BM1_90_5.txt,OUTPUT_SKIN6_90_5.txt,1,0.142750739,0.143155346,0.143245569,0.143257436,0.143279517,0.143217852
18,INPUT_BM1_90_5.txt,OUTPUT_SKIN7_90_5.txt,1,0.25570996,0.231987249,0.2321053,0.232118052,0.232181589,0.23207083
19,INPUT_BM1_90_5.txt,OUTPUT_SKIN8_90_5.txt,1,0.093092324,0.103614444,0.103621388,0.103728001,0.103752525,0.10373431
20,INPUT_BM1_90_5.txt,OUTPUT_SKIN9_90_5.txt,1,0.37593878,0.294431489,0.294591607,0.294614216,0.2946855,0.294558159
21,INPUT_BM2_90_5.txt,OUTPUT_BM1_90_5.txt,1,15.94095256,16.91022311,16.88226479,16.889665,16.8787727,16.88990482
22,INPUT_BM2_90_5.txt,OUTPUT_BM2_90_5.txt,1,-919406,-460463.5,-460745.5,-460463.5,-460539.5,-460622.5
23,INPUT_BM2_90_5.txt,OUTPUT_GUT_90_5.txt,1,46.35675194,39.97105738,39.94892007,39.97448476,39.96933777,39.96579258
24,INPUT_BM2_90_5.txt,OUTPUT_L_90_5.txt,1,159.3080572,227.8531944,227.8436675,227.8385684,227.8825247,227.7152119
25,INPUT_BM2_90_5.txt,OUTPUT_LN1_90_5.txt,1,0.314107385,0.26075436,0.260718877,0.260767215,0.260736491,0.26068163
26,INPUT_BM2_90_5.txt,OUTPUT_LN2_90_5.txt,1,0.029826463,0.039341038,0.039327179,0.039335071,0.039329467,0.039336076
27,INPUT_BM2_90_5.txt,OUTPUT_LUNG_90_5.txt,1,0.38577249,0.320736499,0.320327614,0.320760174,0.320443696,0.320608471
28,INPUT_BM2_90_5.txt,OUTPUT_S_90_5.txt,1,117.2584089,NA,NA,NA,NA,NA
29,INPUT_BM2_90_5.txt,OUTPUT_SKIN1_90_5.txt,1,0.334453881,0.301671481,0.301484635,0.301671481,0.301621103,0.301566103
30,INPUT_BM2_90_5.txt,OUTPUT_SKIN10_90_5.txt,1,0.153791132,0.140616953,0.140530419,0.140616953,0.140593621,0.140568149
31,INPUT_BM2_90_5.txt,OUTPUT_SKIN11_90_5.txt,1,0.087661264,0.083433434,0.08338605,0.08343238,0.083381158,0.083410135
32,INPUT_BM2_90_5.txt,OUTPUT_SKIN12_90_5.txt,1,0.012190425,0.011228393,0.011221518,0.011228393,0.01122654,0.011224516
33,INPUT_BM2_90_5.txt,OUTPUT_SKIN2_90_5.txt,1,0.03402703,0.021429112,0.021415987,0.0214293,0.021425667,0.021421803
34,INPUT_BM2_90_5.txt,OUTPUT_SKIN3_90_5.txt,1,0.036045206,0.038060706,0.038036546,0.038061365,0.038056073,0.03804756
35,INPUT_BM2_90_5.txt,OUTPUT_SKIN4_90_5.txt,1,0.076068317,0.064184344,0.064142677,0.064181814,0.064173961,0.06416025
36,INPUT_BM2_90_5.txt,OUTPUT_SKIN5_90_5.txt,1,0.128982853,0.099151517,0.099089481,0.099150837,0.099136547,0.099116223
37,INPUT_BM2_90_5.txt,OUTPUT_SKIN6_90_5.txt,1,0.037793645,0.036147963,0.036126333,0.036148488,0.036142265,0.036135469
38,INPUT_BM2_90_5.txt,OUTPUT_SKIN7_90_5.txt,1,0.35141273,0.371489622,0.371259979,0.371483728,0.371427261,0.371350781
39,INPUT_BM2_90_5.txt,OUTPUT_SKIN8_90_5.txt,1,0.227409002,0.221334522,0.221107848,0.221444022,0.221405603,0.221418031
40,INPUT_BM2_90_5.txt,OUTPUT_SKIN9_90_5.txt,1,0.178920228,0.161842078,0.161743801,0.161842096,0.161814495,0.161784447
41,INPUT_GUT_90_5.txt,OUTPUT_BM1_90_5.txt,1,6.407396575,5.651117964,5.644836712,5.644048512,5.64118452,5.645595768
42,INPUT_GUT_90_5.txt,OUTPUT_BM2_90_5.txt,1,5.145134113,4.274082234,4.279014633,4.273913736,4.275202306,4.276507701
43,INPUT_GUT_90_5.txt,OUTPUT_GUT_90_5.txt,1,-298732.5,-149576.5,-149586,-149582.5,-149586.5,-149594.5
44,INPUT_GUT_90_5.txt,OUTPUT_L_90_5.txt,1,18.36241159,18.11341928,18.11440782,18.11110938,18.11700881,18.0961235
45,INPUT_GUT_90_5.txt,OUTPUT_LN1_90_5.txt,1,0.320528094,0.268924196,0.268821761,0.268876286,0.268865822,0.268851097
46,INPUT_GUT_90_5.txt,OUTPUT_LN2_90_5.txt,1,0.086605046,0.094450903,0.094469072,0.094449792,0.094449169,0.094459707
47,INPUT_GUT_90_5.txt,OUTPUT_LUNG_90_5.txt,1,0.330759029,0.267918111,0.267707002,0.267896657,0.26772375,0.267912663
48,INPUT_GUT_90_5.txt,OUTPUT_S_90_5.txt,1,22.007369,NA,NA,NA,NA,NA
49,INPUT_GUT_90_5.txt,OUTPUT_SKIN1_90_5.txt,1,0.219181648,0.16000949,0.159999273,0.160003037,0.159998735,0.159990132
50,INPUT_GUT_90_5.txt,OUTPUT_SKIN10_90_5.txt,1,0.089832849,0.079214066,0.079209022,0.07921088,0.079208756,0.079204509
51,INPUT_GUT_90_5.txt,OUTPUT_SKIN11_90_5.txt,1,0.168073655,0.161631989,0.161630419,0.16162345,0.161548693,0.161624541
52,INPUT_GUT_90_5.txt,OUTPUT_SKIN12_90_5.txt,1,0.027556545,0.040842642,0.040840045,0.040841002,0.040839909,0.040837722
53,INPUT_GUT_90_5.txt,OUTPUT_SKIN2_90_5.txt,1,0.124777747,0.11269892,0.112691739,0.112695365,0.112691851,0.112685805
54,INPUT_GUT_90_5.txt,OUTPUT_SKIN3_90_5.txt,1,0.087460719,0.052974033,0.052969498,0.052972757,0.05297271,0.052967747
55,INPUT_GUT_90_5.txt,OUTPUT_SKIN4_90_5.txt,1,0.08685761,0.150324256,0.150309906,0.150312864,0.150314739,0.150301306
56,INPUT_GUT_90_5.txt,OUTPUT_SKIN5_90_5.txt,1,0.230656651,0.183813874,0.183798196,0.183806417,0.183802382,0.183789248
57,INPUT_GUT_90_5.txt,OUTPUT_SKIN6_90_5.txt,1,0.066451092,0.10973934,0.10973315,0.109735726,0.10973226,0.10972609
58,INPUT_GUT_90_5.txt,OUTPUT_SKIN7_90_5.txt,1,0.318703635,0.265986837,0.265974226,0.265977044,0.265969511,0.265958068
59,INPUT_GUT_90_5.txt,OUTPUT_SKIN8_90_5.txt,1,0.277062056,0.234074494,0.233959227,0.234179028,0.234173383,0.234219465
60,INPUT_GUT_90_5.txt,OUTPUT_SKIN9_90_5.txt,1,0.241952631,0.212738624,0.212725257,0.212728369,0.212723345,0.212710934
61,INPUT_L_90_5.txt,OUTPUT_BM1_90_5.txt,1,5.413778922,9.80484511,9.793756424,9.793207291,9.786536729,9.800779479
62,INPUT_L_90_5.txt,OUTPUT_BM2_90_5.txt,1,19.35685599,17.45899754,17.479852,17.45988254,17.46238245,17.47968668
63,INPUT_L_90_5.txt,OUTPUT_GUT_90_5.txt,1,34.39589023,30.94224181,30.94397139,30.94631151,30.94135818,30.96644701
64,INPUT_L_90_5.txt,OUTPUT_L_90_5.txt,1,-1237692,-620981,-621017.5,-620950.5,-621066,-620699.5
65,INPUT_L_90_5.txt,OUTPUT_LN1_90_5.txt,1,0.206541149,0.27428201,0.274410995,0.274324296,0.274288416,0.274444699
66,INPUT_L_90_5.txt,OUTPUT_LN2_90_5.txt,1,0.026922526,0.026957693,0.026962869,0.026958436,0.026954009,0.026975626
67,INPUT_L_90_5.txt,OUTPUT_LUNG_90_5.txt,1,0.27892522,0.266261246,0.266049069,0.266251254,0.266045031,0.26638627
68,INPUT_L_90_5.txt,OUTPUT_S_90_5.txt,1,176.2103329,NA,NA,NA,NA,NA
69,INPUT_L_90_5.txt,OUTPUT_SKIN1_90_5.txt,1,0.186774256,0.170027552,0.170017232,0.170035692,0.170003872,0.170104883
70,INPUT_L_90_5.txt,OUTPUT_SKIN10_90_5.txt,1,0.046881695,0.033167191,0.033165234,0.033168817,0.033162641,0.033182246
71,INPUT_L_90_5.txt,OUTPUT_SKIN11_90_5.txt,1,0.070624297,0.158362098,0.158359407,0.158367797,0.158266062,0.158444336
72,INPUT_L_90_5.txt,OUTPUT_SKIN12_90_5.txt,1,0.025556414,0.018220446,0.018219373,0.01822134,0.01821795,0.018228713
73,INPUT_L_90_5.txt,OUTPUT_SKIN2_90_5.txt,1,0.027049996,0.041197705,0.041195274,0.041200082,0.041192231,0.041216587
74,INPUT_L_90_5.txt,OUTPUT_SKIN3_90_5.txt,1,0.024293537,0.01995755,0.019955942,0.019958875,0.019955679,0.01996661
75,INPUT_L_90_5.txt,OUTPUT_SKIN4_90_5.txt,1,0.026718527,0.052811268,0.052804876,0.052810388,0.052804219,0.052832788
76,INPUT_L_90_5.txt,OUTPUT_SKIN5_90_5.txt,1,0.114134471,0.115061911,0.115053891,0.115066639,0.115047803,0.115113208
77,INPUT_L_90_5.txt,OUTPUT_SKIN6_90_5.txt,1,0.022687861,0.023689978,0.023688906,0.023691464,0.023686922,0.023700728
78,INPUT_L_90_5.txt,OUTPUT_SKIN7_90_5.txt,1,0.310043872,0.288480636,0.2884552,0.288488605,0.288435575,0.28860114
79,INPUT_L_90_5.txt,OUTPUT_SKIN8_90_5.txt,1,0.188297678,0.176606401,0.176522686,0.176697545,0.176664596,0.176808376
80,INPUT_L_90_5.txt,OUTPUT_SKIN9_90_5.txt,1,0.368069683,0.364980741,0.364960365,0.36499763,0.364927313,0.365144408
81,INPUT_LN1_90_5.txt,OUTPUT_BM1_90_5.txt,1,1.684682952,1.792979306,1.790673004,1.790903031,1.790108834,1.791405658
82,INPUT_LN1_90_5.txt,OUTPUT_BM2_90_5.txt,1,2.403423176,2.319754125,2.321209408,2.319502804,2.320070544,2.320760318
83,INPUT_LN1_90_5.txt,OUTPUT_GUT_90_5.txt,1,0.317671414,0.303427026,0.303351378,0.303419048,0.303427131,0.303459423
84,INPUT_LN1_90_5.txt,OUTPUT_L_90_5.txt,1,4.441584565,4.36686286,4.365530768,4.366100132,4.367021416,4.363735865
85,INPUT_LN1_90_5.txt,OUTPUT_LN1_90_5.txt,1,-544903.5,-273567.5,-273669.5,-273596,-273603,-273602.5
86,INPUT_LN1_90_5.txt,OUTPUT_LN2_90_5.txt,1,0.04411605,0.045048605,0.045044325,0.045045569,0.045044844,0.045053479
87,INPUT_LN1_90_5.txt,OUTPUT_LUNG_90_5.txt,1,0.719290081,0.717261067,0.7165098,0.717225656,0.716547798,0.717117855
88,INPUT_LN1_90_5.txt,OUTPUT_S_90_5.txt,1,4.425996569,NA,NA,NA,NA,NA
