"","matched","unmatched","canonical"
"M18LN1_90_2.txt",1190674,41137,1162349
"M18LN2_90_2.txt",496363,16017,495771
"M18LUNG_90_2.txt",1236925,41702,1192995
"M18S_90_2.txt",960150,30374,952164
"M18SKIN1_90_2.txt",1077311,42272,1063441
"M18SKIN2_90_2.txt",1291280,50787,1255575
"M18SKIN3_90_2.txt",1759290,67020,1686229
"M18SKIN4_90_2.txt",933646,40987,906427
"M18SKIN5_90_2.txt",1205542,42680,1180119
"M18SKIN6_90_2.txt",1328118,46289,1291250
"M19BM1_90_2.txt",256076,9360,255199
"M19BM2_90_2.txt",912850,30243,906731
"M19GUT_90_2.txt",2589,78,2379
"M19L_90_2.txt",677720,37596,659862
"M19LN1_90_2.txt",779592,40618,757572
"M19LN2_90_2.txt",17389,605,16962
"M19LUNG_90_2.txt",1075409,36843,1040650
"M19S_90_2.txt",975552,33091,966342
"M19SKIN1_90_2.txt",992707,39986,974093
"M19SKIN2_90_2.txt",1940158,66016,1854167
"M19SKIN3_90_2.txt",1921211,80475,1854323
"M19SKIN4_90_2.txt",1056591,38440,1020792
"M19SKIN5_90_2.txt",912878,31378,893485
"M19SKIN6_90_2.txt",1492750,52936,1456704
"M1BM1_90_2.txt",1729173,60446,1707344
"M1BM2_90_2.txt",1672508,58865,1654948
"M1GUT_90_2.txt",541983,18357,537841
"M1L_90_2.txt",2260444,78858,2229197
"M1LN1_90_2.txt",1011417,37853,981943
"M1LN2_90_2.txt",895016,44922,835945
"M1LUNG_90_2.txt",1303362,51131,1268245
"M1S_90_2.txt",88826,2918,88343
"M1SKIN1_90_2.txt",1051772,35452,1018717
"M1SKIN10_90_2.txt",954432,32737,950414
"M1SKIN11_90_2.txt",907060,39757,879990
"M1SKIN12_90_2.txt",933325,32472,910927
"M1SKIN2_90_2.txt",867586,28820,822204
"M1SKIN3_90_2.txt",904260,31241,867805
"M1SKIN4_90_2.txt",1053240,36202,998654
"M1SKIN5_90_2.txt",851565,29782,816986
"M1SKIN6_90_2.txt",1004437,37073,939374
"M1SKIN7_90_2.txt",1307287,44402,1282411
"M1SKIN8_90_2.txt",1820795,66892,1783849
"M1SKIN9_90_2.txt",813325,29037,796429
"M20BM1_90_2.txt",886206,31089,871038
"M20BM2_90_2.txt",1079596,36580,1067257
"M20GUT_90_2.txt",2416,91,2219
"M20L_90_2.txt",1327963,43936,1302931
"M20LN1_90_2.txt",1289418,74266,1229727
"M20LN2_90_2.txt",24712,740,24274
"M20LUNG_90_2.txt",179430,5813,171841
"M20S_90_2.txt",1365391,43211,1348019
"M20SKIN1_90_2.txt",1037629,39604,980528
"M20SKIN2_90_2.txt",1414284,56499,1380510
"M20SKIN3_90_2.txt",1208923,49494,1170891
"M20SKIN4_90_2.txt",1428386,55403,1386071
"M20SKIN5_90_2.txt",929051,31145,913332
"M20SKIN6_90_2.txt",1451448,55745,1425495
"M21BM1_90_2.txt",967118,39378,956441
"M21BM2_90_2.txt",1606997,59213,1593264
"M21GUT_90_2.txt",126138,4037,125852
"M21L_90_2.txt",930332,31231,923813
"M21LN1_90_2.txt",850857,28111,848055
"M21LN2_90_2.txt",416649,13348,416128
"M21LUNG_90_2.txt",1039081,34810,987989
"M21S_90_2.txt",4972,181,4646
"M21SKIN1_90_2.txt",1106623,54149,1040254
"M21SKIN10_90_2.txt",1976340,72514,1904463
"M21SKIN11_90_2.txt",1309727,50093,1269044
"M21SKIN12_90_2.txt",1726723,87849,1677593
"M21SKIN2_90_2.txt",953643,32492,946159
"M21SKIN3_90_2.txt",1497038,58809,1459480
"M21SKIN4_90_2.txt",1128146,42099,1097757
"M21SKIN5_90_2.txt",1114804,57365,1076661
"M21SKIN6_90_2.txt",1095098,37300,1072005
"M21SKIN7_90_2.txt",872815,33334,849187
"M21SKIN8_90_2.txt",899518,29767,869758
"M21SKIN9_90_2.txt",1751569,68480,1700421
"M22BM1_90_2.txt",943248,32567,934472
"M22BM2_90_2.txt",1215369,41018,1201750
"M22GUT_90_2.txt",2762,85,2619
"M22L_90_2.txt",1485560,52832,1467774
"M22LN1_90_2.txt",1172765,40590,1127087
"M22LN2_90_2.txt",921501,30185,912999
"M22LUNG_90_2.txt",960779,31756,949767
"M22S_90_2.txt",2018626,67993,1989578
"M22SKIN1_90_2.txt",1091496,44006,1075833
"M22SKIN10_90_2.txt",913683,31314,911108
"M22SKIN11_90_2.txt",892528,32599,884993
"M22SKIN12_90_2.txt",1505047,51668,1434933
"M22SKIN2_90_2.txt",1029874,36444,986728
"M22SKIN3_90_2.txt",951236,32925,926581
"M22SKIN4_90_2.txt",976774,52257,968094
"M22SKIN5_90_2.txt",1120352,38892,1086441
"M22SKIN6_90_2.txt",4721,176,4258
"M22SKIN7_90_2.txt",796398,26386,792481
"M22SKIN8_90_2.txt",975897,41613,937712
"M22SKIN9_90_2.txt",1010368,35127,1002242
"M23BM1_90_2.txt",1129752,37604,1119847
"M23BM2_90_2.txt",1016655,34344,1008797
"M23GUT_90_2.txt",481738,15209,479726
"M23L_90_2.txt",1142659,38191,1125922
"M23LN1_90_2.txt",866614,29138,836956
"M23LN2_90_2.txt",896930,29158,883341
"M23LUNG_90_2.txt",1024185,50256,1019938
"M23S_90_2.txt",1048093,33230,1040019
"M23SKIN1_90_2.txt",989077,37095,964273
"M23SKIN10_90_2.txt",1086210,38927,980191
"M23SKIN11_90_2.txt",1104218,97114,1070271
"M23SKIN12_90_2.txt",1312328,45735,1308418
"M23SKIN2_90_2.txt",1001199,34245,988414
"M23SKIN3_90_2.txt",587539,32211,559639
"M23SKIN4_90_2.txt",1859850,65903,1805282
"M23SKIN5_90_2.txt",999200,47165,977241
"M23SKIN6_90_2.txt",2299332,82673,2249116
"M23SKIN7_90_2.txt",963112,36038,943825
"M23SKIN8_90_2.txt",888411,30302,846076
"M23SKIN9_90_2.txt",1094256,38307,1089087
"M24BM1_90_2.txt",1180091,41359,1168725
"M24BM2_90_2.txt",1012736,34768,1004901
"M24GUT_90_2.txt",1009033,34923,988991
"M24L_90_2.txt",1055244,36997,1030480
"M24LN1_90_2.txt",1290263,47629,1270964
"M24LN2_90_2.txt",985958,34327,974982
"M24LUNG_90_2.txt",1062437,36425,1048871
"M24S_90_2.txt",1590865,51550,1573239
"M24SKIN1_90_2.txt",1728118,69696,1667471
"M24SKIN10_90_2.txt",2211642,82028,2197117
"M24SKIN11_90_2.txt",1154434,54481,1105619
"M24SKIN12_90_2.txt",1429018,67752,1377978
