"","matched","unmatched","canonical"
"INPUT1A_50_4.txt",1186419,37520,1175751
"INPUT1B_50_4.txt",1366053,42997,1352746
"INPUT1C_50_4.txt",884650,28211,877192
"INPUT2A_50_4.txt",1333512,45974,1318497
"INPUT2B_50_4.txt",1379527,46087,1362880
"INPUT2C_50_4.txt",1055757,36011,1044546
"M10BM1_50_4.txt",618175,20892,612851
"M10BM2_50_4.txt",499450,16942,498918
"M10GUT_50_4.txt",571141,17703,568604
"M10L_50_4.txt",856964,28299,848419
"M10LN1_50_4.txt",91291,2892,90916
"M10LN2_50_4.txt",555320,18663,552711
"M10LUNG_50_4.txt",852532,40532,800728
"M10S_50_4.txt",777622,25199,771412
"M11BM1_50_4.txt",980684,32877,971705
"M11BM2_50_4.txt",1124976,36407,1114714
"M11GUT_50_4.txt",1116,32,1035
"M11L_50_4.txt",711127,23856,701463
"M11LN1_50_4.txt",461077,14994,453883
"M11LN2_50_4.txt",551023,17686,545059
"M11LUNG_50_4.txt",546682,18267,526924
"M11S_50_4.txt",594726,19194,589576
"M12BM1_50_4.txt",861051,29182,853994
"M12BM2_50_4.txt",982982,32571,976043
"M12GUT_50_4.txt",2891,95,2757
"M12L_50_4.txt",867089,28213,860561
"M12LN1_50_4.txt",597166,21192,576667
"M12LN2_50_4.txt",511215,16232,489062
"M12LUNG_50_4.txt",1120921,47217,1089679
"M12S_50_4.txt",7837,216,7615
"M12SKIN1_50_4.txt",1136331,39057,1125878
"M12SKIN10_50_4.txt",523733,19536,514655
"M12SKIN11_50_4.txt",624471,21352,604307
"M12SKIN12_50_4.txt",773830,26265,738106
"M12SKIN2_50_4.txt",962436,36224,946661
"M12SKIN3_50_4.txt",842501,32236,818023
"M12SKIN4_50_4.txt",553553,19122,552514
"M12SKIN5_50_4.txt",781694,31990,770252
"M12SKIN6_50_4.txt",912780,30801,899342
"M12SKIN7_50_4.txt",612021,22810,611113
"M12SKIN8_50_4.txt",625079,20772,594483
"M12SKIN9_50_4.txt",564780,20030,562431
"M13BM1_50_4.txt",1698,55,1465
"M13BM2_50_4.txt",1178858,39455,1168819
"M13GUT_50_4.txt",259928,8071,259634
"M13L_50_4.txt",562467,18196,558375
"M13LN1_50_4.txt",519649,17677,518652
"M13LN2_50_4.txt",585725,19564,584161
"M13LUNG_50_4.txt",593713,21476,569133
"M13S_50_4.txt",78897,2548,78635
"M13SKIN1_50_4.txt",1110186,38484,1090039
"M13SKIN10_50_4.txt",573385,20161,553043
"M13SKIN11_50_4.txt",619383,21140,589495
"M13SKIN12_50_4.txt",1015686,40462,997200
"M13SKIN2_50_4.txt",645974,24208,631181
"M13SKIN3_50_4.txt",420476,14498,419589
"M13SKIN4_50_4.txt",844626,36426,824964
"M13SKIN5_50_4.txt",627381,21711,624457
"M13SKIN6_50_4.txt",1212354,46553,1194901
"M13SKIN7_50_4.txt",654934,23805,643644
"M13SKIN8_50_4.txt",530199,18157,529376
"M13SKIN9_50_4.txt",581913,20770,569872
"M14BM1_50_4.txt",509106,16612,505056
"M14BM2_50_4.txt",559894,18544,556176
"M14GUT_50_4.txt",381255,16768,380395
"M14L_50_4.txt",3367,112,3173
"M14LN1_50_4.txt",2540,174,2306
"M14LN2_50_4.txt",614101,19903,589719
"M14LUNG_50_4.txt",623653,23020,619536
"M14S_50_4.txt",727484,23248,721290
"M14SKIN1_50_4.txt",676722,23133,646281
"M14SKIN10_50_4.txt",568951,19107,553658
"M14SKIN11_50_4.txt",629663,23963,628453
"M14SKIN12_50_4.txt",770229,26689,746681
"M14SKIN2_50_4.txt",542305,28275,528437
"M14SKIN3_50_4.txt",465086,21546,454469
"M14SKIN4_50_4.txt",576960,18915,511228
"M14SKIN5_50_4.txt",528328,16463,518587
"M14SKIN6_50_4.txt",550381,18898,507545
"M14SKIN7_50_4.txt",472752,16309,447960
"M14SKIN8_50_4.txt",535802,21644,528156
"M14SKIN9_50_4.txt",545010,24484,543360
"M15BM1_50_4.txt",1130685,37468,1115550
"M15BM2_50_4.txt",1199469,40733,1189046
"M15GUT_50_4.txt",536022,16897,532296
"M15L_50_4.txt",1284230,41627,1271009
"M15LN1_50_4.txt",476924,14962,473119
"M15LN2_50_4.txt",493886,15584,491572
"M15LUNG_50_4.txt",1080386,35713,1067999
"M15S_50_4.txt",1378492,43839,1365443
"M15SKIN1_50_4.txt",583390,21055,566105
"M15SKIN2_50_4.txt",619202,26822,594166
"M15SKIN3_50_4.txt",1284360,53737,1246394
"M15SKIN4_50_4.txt",577079,23443,568052
"M15SKIN5_50_4.txt",765291,29010,749848
"M15SKIN6_50_4.txt",557458,18467,544630
"M16BM1_50_4.txt",1075675,42382,1059281
"M16BM2_50_4.txt",372069,12814,369966
"M16GUT_50_4.txt",1402,59,1302
"M16L_50_4.txt",554506,18858,553863
"M16LN1_50_4.txt",408031,13894,382847
"M16LN2_50_4.txt",455754,15843,444116
"M16LUNG_50_4.txt",512272,21866,506270
"M16S_50_4.txt",2427,74,2212
"M16SKIN1_50_4.txt",620781,22727,606833
"M16SKIN2_50_4.txt",520980,17968,513518
"M16SKIN3_50_4.txt",1170368,41044,1127780
"M16SKIN4_50_4.txt",527655,20303,513765
"M16SKIN5_50_4.txt",730904,30421,715381
"M16SKIN6_50_4.txt",735930,24601,726266
"M17BM1_50_4.txt",963795,32626,939134
"M17BM2_50_4.txt",759035,26432,752938
"M17GUT_50_4.txt",251495,7928,249337
"M17L_50_4.txt",548423,18856,543325
"M17LN1_50_4.txt",197681,6391,196910
"M17LN2_50_4.txt",412019,13082,401123
"M17LUNG_50_4.txt",487716,16138,482376
"M17S_50_4.txt",80472,2566,80178
"M17SKIN1_50_4.txt",551541,29314,545504
"M17SKIN2_50_4.txt",683138,23811,655801
"M17SKIN3_50_4.txt",899858,33250,878883
"M17SKIN4_50_4.txt",531055,20330,519382
"M17SKIN5_50_4.txt",791206,28556,770356
"M17SKIN6_50_4.txt",726187,29114,712823
"M18BM1_50_4.txt",886284,30282,878454
"M18BM2_50_4.txt",856962,29537,851350
"M18GUT_50_4.txt",135925,4364,135776
"M18L_50_4.txt",817750,27550,811389
"M18LN1_50_4.txt",661561,23058,646467
"M18LN2_50_4.txt",275687,8991,275350
"M18LUNG_50_4.txt",687532,23066,664829
"M18S_50_4.txt",533652,16953,529126
"M18SKIN1_50_4.txt",598680,23419,591751
"M18SKIN2_50_4.txt",717252,28522,699339
"M18SKIN3_50_4.txt",977391,37238,939331
"M18SKIN4_50_4.txt",519223,22553,504527
"M18SKIN5_50_4.txt",669923,23748,657842
"M18SKIN6_50_4.txt",737768,25861,718482
"M19BM1_50_4.txt",142268,5270,141785
"M19BM2_50_4.txt",507495,16791,504426
"M19GUT_50_4.txt",1425,39,1273
"M19L_50_4.txt",376511,20948,366877
"M19LN1_50_4.txt",433461,22620,421082
"M19LN2_50_4.txt",9584,335,9293
"M19LUNG_50_4.txt",597600,20432,578251
"M19S_50_4.txt",542296,18416,537512
"M19SKIN1_50_4.txt",551664,22303,541271
"M19SKIN2_50_4.txt",1077760,36773,1033307
"M19SKIN3_50_4.txt",1067197,44816,1033737
"M19SKIN4_50_4.txt",587115,21339,568089
"M19SKIN5_50_4.txt",507308,17619,497252
"M19SKIN6_50_4.txt",829782,29435,811634
"M1BM1_50_4.txt",960737,33515,950752
"M1BM2_50_4.txt",929430,32667,920934
"M1GUT_50_4.txt",300945,10221,299168
"M1L_50_4.txt",1256083,43735,1241914
"M1LN1_50_4.txt",562132,20915,547197
"M1LN2_50_4.txt",497606,24925,465801
"M1LUNG_50_4.txt",724307,28392,706818
"M1S_50_4.txt",49318,1631,48966
"M1SKIN1_50_4.txt",584422,19728,566766
"M1SKIN10_50_4.txt",530685,18081,528430
