,INPUT_POOL,OUTPUT_POOL,FP_5,mouse_ID,FP_1,FP_4,FP_3,FP_2,FP
1687,INPUT_GUT_90_5.txt,OUTPUT_LUNG_90_5.txt,NA,7,NA,NA,NA,NA,NA
1688,INPUT_GUT_90_5.txt,OUTPUT_S_90_5.txt,NA,7,NA,NA,NA,NA,NA
1689,INPUT_L_90_5.txt,OUTPUT_BM1_90_5.txt,0.054236102,7,0.054269868,0.05421468,0.054224617,0.054235762,0.049800884
1690,INPUT_L_90_5.txt,OUTPUT_BM2_90_5.txt,8.898573121,7,8.893945478,8.891572056,8.900510375,8.896234679,8.497671764
1691,INPUT_L_90_5.txt,OUTPUT_GUT_90_5.txt,NA,7,NA,NA,NA,NA,NA
1692,INPUT_L_90_5.txt,OUTPUT_L_90_5.txt,-323358.5,7,-323335.5,-323454,-323287.5,-323357,-359343.5
1693,INPUT_L_90_5.txt,OUTPUT_LN1_90_5.txt,0.331915492,7,0.331939355,0.331816443,0.331989168,0.331917048,0.336665007
1694,INPUT_L_90_5.txt,OUTPUT_LN2_90_5.txt,0.021338528,7,0.021340047,0.021332225,0.021343217,0.021338627,0.019644379
1695,INPUT_L_90_5.txt,OUTPUT_LUNG_90_5.txt,0.01614831,7,0.016144743,0.016138866,0.016147286,0.016148631,0.015147233
1696,INPUT_L_90_5.txt,OUTPUT_S_90_5.txt,10.01776071,7,10.01361707,10.00655475,10.01559549,10.01656927,10.05914119
1697,INPUT_LN1_90_5.txt,OUTPUT_BM1_90_5.txt,0.261502316,7,0.261582524,0.261487814,0.261439542,0.261500833,0.260339892
1698,INPUT_LN1_90_5.txt,OUTPUT_BM2_90_5.txt,0.596444453,7,0.596449283,0.596448343,0.59644444,0.596446628,0.590647882
1699,INPUT_LN1_90_5.txt,OUTPUT_GUT_90_5.txt,NA,7,NA,NA,NA,NA,NA
1700,INPUT_LN1_90_5.txt,OUTPUT_L_90_5.txt,0.572981077,7,0.572982638,0.572974596,0.572985896,0.572981179,0.56905926
1701,INPUT_LN1_90_5.txt,OUTPUT_LN1_90_5.txt,-69406.5,7,-69406.5,-69406.5,-69406.5,-69406.5,-77113.5
1702,INPUT_LN1_90_5.txt,OUTPUT_LN2_90_5.txt,0.105615623,7,0.105615623,0.105615623,0.105615623,0.105615623,0.097665859
1703,INPUT_LN1_90_5.txt,OUTPUT_LUNG_90_5.txt,0.085132505,7,0.085121897,0.085121717,0.085122141,0.085133357,0.080219088
1704,INPUT_LN1_90_5.txt,OUTPUT_S_90_5.txt,0.573701934,7,0.573706302,0.573709331,0.573705869,0.573703046,0.56935074
