"","matched","unmatched","canonical"
"INPUT1A_75_3.txt",1778507,56182,1758276
"INPUT1B_75_3.txt",2047814,64124,2023772
"INPUT1C_75_3.txt",1325664,42420,1311153
"INPUT2A_75_3.txt",1999033,68619,1974235
"INPUT2B_75_3.txt",2067407,69336,2040464
"INPUT2C_75_3.txt",1582831,53743,1563843
"M10BM1_75_3.txt",926425,31366,917176
"M10BM2_75_3.txt",748085,25280,747282
"M10GUT_75_3.txt",855696,26655,850000
"M10L_75_3.txt",1284141,42400,1270100
"M10LN1_75_3.txt",136440,4354,135884
"M10LN2_75_3.txt",831957,28002,826111
"M10LUNG_75_3.txt",1277637,60662,1199698
"M10S_75_3.txt",1165732,37584,1155004
"M11BM1_75_3.txt",1469995,49402,1453877
"M11BM2_75_3.txt",1686619,54576,1668537
"M11GUT_75_3.txt",1700,57,1587
"M11L_75_3.txt",1065842,35769,1050025
"M11LN1_75_3.txt",690449,22614,678154
"M11LN2_75_3.txt",825525,26426,813835
"M11LUNG_75_3.txt",818843,27505,789287
"M11S_75_3.txt",891198,28748,883756
"M12BM1_75_3.txt",1290237,43772,1275013
"M12BM2_75_3.txt",1473939,48431,1458960
"M12GUT_75_3.txt",4326,155,4124
"M12L_75_3.txt",1299617,42092,1287374
"M12LN1_75_3.txt",894875,31731,863117
"M12LN2_75_3.txt",765831,24258,731703
"M12LUNG_75_3.txt",1680713,70561,1629227
"M12S_75_3.txt",11724,338,11400
"M12SKIN1_75_3.txt",1703742,58520,1685003
"M12SKIN10_75_3.txt",784527,29312,770119
"M12SKIN11_75_3.txt",935631,32227,905440
"M12SKIN12_75_3.txt",1159618,39567,1106283
"M12SKIN2_75_3.txt",1442759,54343,1416604
"M12SKIN3_75_3.txt",1262486,48272,1224315
"M12SKIN4_75_3.txt",829371,28632,827206
"M12SKIN5_75_3.txt",1171707,47896,1151619
"M12SKIN6_75_3.txt",1368171,46047,1346996
"M12SKIN7_75_3.txt",917087,34277,914426
