"","matched","unmatched","canonical"
"INPUT1A_75_2.txt",1778507,56182,1758263
"INPUT1B_75_2.txt",2047814,64124,2023477
"INPUT1C_75_2.txt",1325664,42420,1311172
"INPUT2A_75_2.txt",1999033,68619,1974559
"INPUT2B_75_2.txt",2067407,69336,2040389
"INPUT2C_75_2.txt",1582831,53743,1563091
"M10BM1_75_2.txt",926425,31366,917379
"M10BM2_75_2.txt",748085,25280,747282
"M10GUT_75_2.txt",855696,26655,850014
"M10L_75_2.txt",1284141,42400,1270000
"M10LN1_75_2.txt",136440,4354,135884
"M10LN2_75_2.txt",831957,28002,826100
"M10LUNG_75_2.txt",1277637,60662,1199834
"M10S_75_2.txt",1165732,37584,1155044
"M11BM1_75_2.txt",1469995,49402,1454207
"M11BM2_75_2.txt",1686619,54576,1669073
"M11GUT_75_2.txt",1700,57,1587
"M11L_75_2.txt",1065842,35769,1050161
"M11LN1_75_2.txt",690449,22614,678144
"M11LN2_75_2.txt",825525,26426,813954
"M11LUNG_75_2.txt",818843,27505,789287
"M11S_75_2.txt",891198,28748,883766
"M12BM1_75_2.txt",1290237,43772,1275796
"M12BM2_75_2.txt",1473939,48431,1459442
"M12GUT_75_2.txt",4326,155,4124
"M12L_75_2.txt",1299617,42092,1287759
"M12LN1_75_2.txt",894875,31731,863206
"M12LN2_75_2.txt",765831,24258,731725
"M12LUNG_75_2.txt",1680713,70561,1629443
"M12S_75_2.txt",11724,338,11400
"M12SKIN1_75_2.txt",1703742,58520,1685125
"M12SKIN10_75_2.txt",784527,29312,770064
"M12SKIN11_75_2.txt",935631,32227,905429
"M12SKIN12_75_2.txt",1159618,39567,1106337
"M12SKIN2_75_2.txt",1442759,54343,1416847
"M12SKIN3_75_2.txt",1262486,48272,1224320
"M12SKIN4_75_2.txt",829371,28632,827219
"M12SKIN5_75_2.txt",1171707,47896,1151668
"M12SKIN6_75_2.txt",1368171,46047,1347122
"M12SKIN7_75_2.txt",917087,34277,914452
"M12SKIN8_75_2.txt",936607,31295,890677
"M12SKIN9_75_2.txt",846220,30141,842834
"M13BM1_75_2.txt",2554,78,2201
"M13BM2_75_2.txt",1767338,58999,1749544
"M13GUT_75_2.txt",389344,12195,388888
"M13L_75_2.txt",842805,27254,836621
"M13LN1_75_2.txt",778345,26617,776804
"M13LN2_75_2.txt",877645,29256,873614
"M13LUNG_75_2.txt",889762,32055,852943
"M13S_75_2.txt",117799,3809,117508
"M13SKIN1_75_2.txt",1664514,57630,1630253
"M13SKIN10_75_2.txt",859454,29884,827770
"M13SKIN11_75_2.txt",928389,31611,883664
"M13SKIN12_75_2.txt",1522566,60765,1493752
"M13SKIN2_75_2.txt",968203,36219,944372
"M13SKIN3_75_2.txt",629991,21633,628661
"M13SKIN4_75_2.txt",1265650,54567,1235021
"M13SKIN5_75_2.txt",940350,32386,935973
"M13SKIN6_75_2.txt",1817528,69836,1776143
"M13SKIN7_75_2.txt",981580,35665,963373
"M13SKIN8_75_2.txt",794036,27399,792809
"M13SKIN9_75_2.txt",872065,30961,852852
"M14BM1_75_2.txt",762581,24896,756573
"M14BM2_75_2.txt",838929,27725,833269
"M14GUT_75_2.txt",571407,25011,569243
"M14L_75_2.txt",5032,176,4762
"M14LN1_75_2.txt",3842,246,3465
"M14LN2_75_2.txt",920342,29787,882776
"M14LUNG_75_2.txt",934629,34525,926129
"M14S_75_2.txt",1090288,34889,1081090
"M14SKIN1_75_2.txt",1014076,34838,966324
"M14SKIN10_75_2.txt",852551,28652,827771
"M14SKIN11_75_2.txt",943600,36021,940346
"M14SKIN12_75_2.txt",1154502,39868,1116584
"M14SKIN2_75_2.txt",812513,42324,791819
"M14SKIN3_75_2.txt",696601,32165,680675
"M14SKIN4_75_2.txt",864442,28377,766195
"M14SKIN5_75_2.txt",791508,24562,773486
"M14SKIN6_75_2.txt",824470,28369,760684
"M14SKIN7_75_2.txt",707960,24469,670759
"M14SKIN8_75_2.txt",802572,32527,791095
"M14SKIN9_75_2.txt",816599,36550,813483
"M15BM1_75_2.txt",1695188,56117,1669736
"M15BM2_75_2.txt",1798134,60975,1780681
"M15GUT_75_2.txt",802851,25467,797373
"M15L_75_2.txt",1924980,62349,1901201
"M15LN1_75_2.txt",714286,22329,708531
"M15LN2_75_2.txt",739602,23371,735145
"M15LUNG_75_2.txt",1619669,53589,1598810
"M15S_75_2.txt",2066113,65712,2044159
"M15SKIN1_75_2.txt",874271,31397,847707
"M15SKIN2_75_2.txt",928095,40073,890215
"M15SKIN3_75_2.txt",1924975,80672,1862279
"M15SKIN4_75_2.txt",864601,35213,851055
"M15SKIN5_75_2.txt",1146862,43559,1121862
"M15SKIN6_75_2.txt",835143,27718,815262
"M16BM1_75_2.txt",1612502,63691,1580632
"M16BM2_75_2.txt",557565,19224,553538
"M16GUT_75_2.txt",2121,84,1962
"M16L_75_2.txt",830768,28249,828509
"M16LN1_75_2.txt",611429,20744,574014
"M16LN2_75_2.txt",682581,23771,664303
"M16LUNG_75_2.txt",767294,32783,758245
"M16S_75_2.txt",3659,124,3333
"M16SKIN1_75_2.txt",930382,34057,908951
"M16SKIN2_75_2.txt",780451,26932,768375
"M16SKIN3_75_2.txt",1754540,61414,1686479
"M16SKIN4_75_2.txt",790631,30207,769947
"M16SKIN5_75_2.txt",1095771,45461,1071634
"M16SKIN6_75_2.txt",1103317,36700,1087167
"M17BM1_75_2.txt",1444924,48793,1406859
"M17BM2_75_2.txt",1137718,39501,1125903
"M17GUT_75_2.txt",376784,11921,373536
"M17L_75_2.txt",821555,28289,813755
"M17LN1_75_2.txt",296111,9559,294324
