"","matched","unmatched","canonical"
"INPUT1A_50_3.txt",1186419,37520,1175623
"INPUT1B_50_3.txt",1366053,42997,1352004
"INPUT1C_50_3.txt",884650,28211,877486
"INPUT2A_50_3.txt",1333512,45974,1318654
"INPUT2B_50_3.txt",1379527,46087,1362816
"INPUT2C_50_3.txt",1055757,36011,1044364
"M10BM1_50_3.txt",618175,20892,612959
"M10BM2_50_3.txt",499450,16942,498918
"M10GUT_50_3.txt",571141,17703,568606
"M10L_50_3.txt",856964,28299,848121
"M10LN1_50_3.txt",91291,2892,90916
"M10LN2_50_3.txt",555320,18663,552671
"M10LUNG_50_3.txt",852532,40532,800731
"M10S_50_3.txt",777622,25199,771429
"M11BM1_50_3.txt",980684,32877,971550
"M11BM2_50_3.txt",1124976,36407,1114466
"M11GUT_50_3.txt",1116,32,1035
"M11L_50_3.txt",711127,23856,701663
"M11LN1_50_3.txt",461077,14994,453921
"M11LN2_50_3.txt",551023,17686,544863
"M11LUNG_50_3.txt",546682,18267,526924
"M11S_50_3.txt",594726,19194,589968
"M12BM1_50_3.txt",861051,29182,853874
"M12BM2_50_3.txt",982982,32571,976221
"M12GUT_50_3.txt",2891,95,2757
"M12L_50_3.txt",867089,28213,860740
"M12LN1_50_3.txt",597166,21192,576674
"M12LN2_50_3.txt",511215,16232,488984
"M12LUNG_50_3.txt",1120921,47217,1089646
"M12S_50_3.txt",7837,216,7615
"M12SKIN1_50_3.txt",1136331,39057,1125574
"M12SKIN10_50_3.txt",523733,19536,514877
"M12SKIN11_50_3.txt",624471,21352,604310
"M12SKIN12_50_3.txt",773830,26265,738121
"M12SKIN2_50_3.txt",962436,36224,946992
"M12SKIN3_50_3.txt",842501,32236,818056
"M12SKIN4_50_3.txt",553553,19122,552514
"M12SKIN5_50_3.txt",781694,31990,770255
"M12SKIN6_50_3.txt",912780,30801,899475
"M12SKIN7_50_3.txt",612021,22810,611113
"M12SKIN8_50_3.txt",625079,20772,594471
"M12SKIN9_50_3.txt",564780,20030,562472
"M13BM1_50_3.txt",1698,55,1465
"M13BM2_50_3.txt",1178858,39455,1168455
"M13GUT_50_3.txt",259928,8071,259634
"M13L_50_3.txt",562467,18196,558364
"M13LN1_50_3.txt",519649,17677,518652
"M13LN2_50_3.txt",585725,19564,584172
"M13LUNG_50_3.txt",593713,21476,568997
"M13S_50_3.txt",78897,2548,78635
"M13SKIN1_50_3.txt",1110186,38484,1090137
"M13SKIN10_50_3.txt",573385,20161,553047
"M13SKIN11_50_3.txt",619383,21140,589484
"M13SKIN12_50_3.txt",1015686,40462,997219
"M13SKIN2_50_3.txt",645974,24208,631162
"M13SKIN3_50_3.txt",420476,14498,419589
"M13SKIN4_50_3.txt",844626,36426,825120
"M13SKIN5_50_3.txt",627381,21711,624457
"M13SKIN6_50_3.txt",1212354,46553,1195490
"M13SKIN7_50_3.txt",654934,23805,643644
"M13SKIN8_50_3.txt",530199,18157,529376
"M13SKIN9_50_3.txt",581913,20770,569960
"M14BM1_50_3.txt",509106,16612,505131
