"","matched","unmatched","canonical"
"INPUT1A_90_5.txt",2135312,67332,2111705
"INPUT1B_90_5.txt",2458201,77135,2427922
"INPUT1C_90_5.txt",1591653,50771,1573718
"INPUT2A_90_5.txt",2399792,82473,2367155
"INPUT2B_90_5.txt",2481857,83338,2446699
"INPUT2C_90_5.txt",1900351,64607,1876189
"M10BM1_90_5.txt",1112419,37728,1101613
"M10BM2_90_5.txt",898445,30283,896774
"M10GUT_90_5.txt",1027680,32143,1019795
"M10L_90_5.txt",1541774,50765,1522311
"M10LN1_90_5.txt",163935,5256,163284
"M10LN2_90_5.txt",999061,33660,992038
"M10LUNG_90_5.txt",1533650,72905,1438721
"M10S_90_5.txt",1399725,45056,1386409
"M11BM1_90_5.txt",1764976,59390,1745934
"M11BM2_90_5.txt",2024963,65336,2001821
"M11GUT_90_5.txt",2049,65,1909
"M11L_90_5.txt",1279871,42822,1258657
"M11LN1_90_5.txt",829075,27138,814220
"M11LN2_90_5.txt",991331,31741,976305
"M11LUNG_90_5.txt",983293,33037,945886
"M11S_90_5.txt",1070365,34553,1060117
"M12BM1_90_5.txt",1549065,52386,1531723
"M12BM2_90_5.txt",1769933,57997,1752761
"M12GUT_90_5.txt",5243,182,5017
"M12L_90_5.txt",1560178,50460,1544520
"M12LN1_90_5.txt",1074797,38065,1035535
"M12LN2_90_5.txt",919693,29105,878704
"M12LUNG_90_5.txt",2017613,84755,1950019
"M12S_90_5.txt",14106,410,13716
"M12SKIN1_90_5.txt",2045547,69977,2022306
"M12SKIN10_90_5.txt",942016,35256,924184
"M12SKIN11_90_5.txt",1123552,38671,1085957
"M12SKIN12_90_5.txt",1392305,47511,1326871
"M12SKIN2_90_5.txt",1732254,65306,1697270
"M12SKIN3_90_5.txt",1515704,57923,1466876
"M12SKIN4_90_5.txt",995946,34435,993408
"M12SKIN5_90_5.txt",1406872,57457,1382600
"M12SKIN6_90_5.txt",1642719,55175,1616185
"M12SKIN7_90_5.txt",1101587,40888,1097824
"M12SKIN8_90_5.txt",1124808,37466,1069433
"M12SKIN9_90_5.txt",1016481,36101,1010701
"M13BM1_90_5.txt",3060,96,2645
"M13BM2_90_5.txt",2121702,70932,2099466
"M13GUT_90_5.txt",467662,14723,466578
"M13L_90_5.txt",1012081,32827,1003327
"M13LN1_90_5.txt",934532,32073,932697
"M13LN2_90_5.txt",1054031,35209,1049093
"M13LUNG_90_5.txt",1068715,38437,1024502
"M13S_90_5.txt",141590,4595,141270
"M13SKIN1_90_5.txt",1998474,69091,1954742
"M13SKIN10_90_5.txt",1032352,35861,994407
