"","matched","unmatched","canonical"
"INPUT1A_50_2.txt",1186419,37520,1175813
"INPUT1B_50_2.txt",1366053,42997,1351910
"INPUT1C_50_2.txt",884650,28211,877193
"INPUT2A_50_2.txt",1333512,45974,1318114
"INPUT2B_50_2.txt",1379527,46087,1363284
"INPUT2C_50_2.txt",1055757,36011,1044151
"M10BM1_50_2.txt",618175,20892,613017
"M10BM2_50_2.txt",499450,16942,498918
"M10GUT_50_2.txt",571141,17703,568621
"M10L_50_2.txt",856964,28299,848477
"M10LN1_50_2.txt",91291,2892,90916
"M10LN2_50_2.txt",555320,18663,552685
"M10LUNG_50_2.txt",852532,40532,800768
"M10S_50_2.txt",777622,25199,771347
"M11BM1_50_2.txt",980684,32877,971820
"M11BM2_50_2.txt",1124976,36407,1114459
"M11GUT_50_2.txt",1116,32,1035
"M11L_50_2.txt",711127,23856,701165
"M11LN1_50_2.txt",461077,14994,453896
"M11LN2_50_2.txt",551023,17686,545153
"M11LUNG_50_2.txt",546682,18267,526924
"M11S_50_2.txt",594726,19194,589756
"M12BM1_50_2.txt",861051,29182,853711
"M12BM2_50_2.txt",982982,32571,975996
"M12GUT_50_2.txt",2891,95,2757
"M12L_50_2.txt",867089,28213,860794
"M12LN1_50_2.txt",597166,21192,576666
"M12LN2_50_2.txt",511215,16232,489128
"M12LUNG_50_2.txt",1120921,47217,1089625
"M12S_50_2.txt",7837,216,7615
"M12SKIN1_50_2.txt",1136331,39057,1125833
"M12SKIN10_50_2.txt",523733,19536,514868
"M12SKIN11_50_2.txt",624471,21352,604309
"M12SKIN12_50_2.txt",773830,26265,737960
"M12SKIN2_50_2.txt",962436,36224,946837
"M12SKIN3_50_2.txt",842501,32236,818064
"M12SKIN4_50_2.txt",553553,19122,552514
"M12SKIN5_50_2.txt",781694,31990,770258
"M12SKIN6_50_2.txt",912780,30801,899740
"M12SKIN7_50_2.txt",612021,22810,611113
"M12SKIN8_50_2.txt",625079,20772,594464
"M12SKIN9_50_2.txt",564780,20030,562451
"M13BM1_50_2.txt",1698,55,1465
"M13BM2_50_2.txt",1178858,39455,1168584
"M13GUT_50_2.txt",259928,8071,259634
"M13L_50_2.txt",562467,18196,558369
"M13LN1_50_2.txt",519649,17677,518652
"M13LN2_50_2.txt",585725,19564,584171
"M13LUNG_50_2.txt",593713,21476,569006
"M13S_50_2.txt",78897,2548,78635
"M13SKIN1_50_2.txt",1110186,38484,1090092
"M13SKIN10_50_2.txt",573385,20161,553046
"M13SKIN11_50_2.txt",619383,21140,589496
"M13SKIN12_50_2.txt",1015686,40462,997155
"M13SKIN2_50_2.txt",645974,24208,631161
"M13SKIN3_50_2.txt",420476,14498,419589
"M13SKIN4_50_2.txt",844626,36426,825163
"M13SKIN5_50_2.txt",627381,21711,624457
"M13SKIN6_50_2.txt",1212354,46553,1194879
"M13SKIN7_50_2.txt",654934,23805,643630
"M13SKIN8_50_2.txt",530199,18157,529376
"M13SKIN9_50_2.txt",581913,20770,569957
"M14BM1_50_2.txt",509106,16612,505116
"M14BM2_50_2.txt",559894,18544,556174
"M14GUT_50_2.txt",381255,16768,380406
"M14L_50_2.txt",3367,112,3173
"M14LN1_50_2.txt",2540,174,2306
"M14LN2_50_2.txt",614101,19903,589607
"M14LUNG_50_2.txt",623653,23020,619536
"M14S_50_2.txt",727484,23248,721354
"M14SKIN1_50_2.txt",676722,23133,646291
"M14SKIN10_50_2.txt",568951,19107,553630
"M14SKIN11_50_2.txt",629663,23963,628453
"M14SKIN12_50_2.txt",770229,26689,746716
"M14SKIN2_50_2.txt",542305,28275,528445
"M14SKIN3_50_2.txt",465086,21546,454466
"M14SKIN4_50_2.txt",576960,18915,511112
"M14SKIN5_50_2.txt",528328,16463,518588
"M14SKIN6_50_2.txt",550381,18898,507545
"M14SKIN7_50_2.txt",472752,16309,447960
"M14SKIN8_50_2.txt",535802,21644,528156
"M14SKIN9_50_2.txt",545010,24484,543360
"M15BM1_50_2.txt",1130685,37468,1115365
"M15BM2_50_2.txt",1199469,40733,1189346
"M15GUT_50_2.txt",536022,16897,532456
"M15L_50_2.txt",1284230,41627,1270611
"M15LN1_50_2.txt",476924,14962,473162
"M15LN2_50_2.txt",493886,15584,491531
"M15LUNG_50_2.txt",1080386,35713,1067650
"M15S_50_2.txt",1378492,43839,1365139
"M15SKIN1_50_2.txt",583390,21055,566104
"M15SKIN2_50_2.txt",619202,26822,594149
"M15SKIN3_50_2.txt",1284360,53737,1246401
"M15SKIN4_50_2.txt",577079,23443,568054
"M15SKIN5_50_2.txt",765291,29010,749873
"M15SKIN6_50_2.txt",557458,18467,544621
"M16BM1_50_2.txt",1075675,42382,1059081
"M16BM2_50_2.txt",372069,12814,370042
"M16GUT_50_2.txt",1402,59,1302
"M16L_50_2.txt",554506,18858,553863
"M16LN1_50_2.txt",408031,13894,382866
"M16LN2_50_2.txt",455754,15843,444106
"M16LUNG_50_2.txt",512272,21866,506272
"M16S_50_2.txt",2427,74,2212
"M16SKIN1_50_2.txt",620781,22727,606839
"M16SKIN2_50_2.txt",520980,17968,513517
