"","matched","unmatched","canonical"
"INPUT1A_75_4.txt",1778507,56182,1758623
"INPUT1B_75_4.txt",2047814,64124,2023518
"INPUT1C_75_4.txt",1325664,42420,1311344
"INPUT2A_75_4.txt",1999033,68619,1974532
"INPUT2B_75_4.txt",2067407,69336,2040563
"INPUT2C_75_4.txt",1582831,53743,1562794
"M10BM1_75_4.txt",926425,31366,917347
"M10BM2_75_4.txt",748085,25280,747282
"M10GUT_75_4.txt",855696,26655,850099
"M10L_75_4.txt",1284141,42400,1270086
"M10LN1_75_4.txt",136440,4354,135884
"M10LN2_75_4.txt",831957,28002,825926
"M10LUNG_75_4.txt",1277637,60662,1199618
"M10S_75_4.txt",1165732,37584,1155224
"M11BM1_75_4.txt",1469995,49402,1454228
"M11BM2_75_4.txt",1686619,54576,1668674
"M11GUT_75_4.txt",1700,57,1587
"M11L_75_4.txt",1065842,35769,1049600
"M11LN1_75_4.txt",690449,22614,678244
"M11LN2_75_4.txt",825525,26426,813612
"M11LUNG_75_4.txt",818843,27505,789287
"M11S_75_4.txt",891198,28748,883925
"M12BM1_75_4.txt",1290237,43772,1275408
"M12BM2_75_4.txt",1473939,48431,1459528
"M12GUT_75_4.txt",4326,155,4124
"M12L_75_4.txt",1299617,42092,1287327
"M12LN1_75_4.txt",894875,31731,863432
"M12LN2_75_4.txt",765831,24258,731795
"M12LUNG_75_4.txt",1680713,70561,1629171
"M12S_75_4.txt",11724,338,11400
"M12SKIN1_75_4.txt",1703742,58520,1685310
"M12SKIN10_75_4.txt",784527,29312,769724
"M12SKIN11_75_4.txt",935631,32227,905438
"M12SKIN12_75_4.txt",1159618,39567,1106340
"M12SKIN2_75_4.txt",1442759,54343,1417007
"M12SKIN3_75_4.txt",1262486,48272,1224290
"M12SKIN4_75_4.txt",829371,28632,827290
"M12SKIN5_75_4.txt",1171707,47896,1151642
"M12SKIN6_75_4.txt",1368171,46047,1347477
"M12SKIN7_75_4.txt",917087,34277,914553
"M12SKIN8_75_4.txt",936607,31295,890672
"M12SKIN9_75_4.txt",846220,30141,842682
"M13BM1_75_4.txt",2554,78,2201
"M13BM2_75_4.txt",1767338,58999,1749785
"M13GUT_75_4.txt",389344,12195,388888
"M13L_75_4.txt",842805,27254,836907
"M13LN1_75_4.txt",778345,26617,776804
"M13LN2_75_4.txt",877645,29256,873742
"M13LUNG_75_4.txt",889762,32055,852910
"M13S_75_4.txt",117799,3809,117508
"M13SKIN1_75_4.txt",1664514,57630,1630356
"M13SKIN10_75_4.txt",859454,29884,827801
"M13SKIN11_75_4.txt",928389,31611,883693
"M13SKIN12_75_4.txt",1522566,60765,1493735
"M13SKIN2_75_4.txt",968203,36219,944300
"M13SKIN3_75_4.txt",629991,21633,628661
"M13SKIN4_75_4.txt",1265650,54567,1234598
"M13SKIN5_75_4.txt",940350,32386,935973
"M13SKIN6_75_4.txt",1817528,69836,1775723
"M13SKIN7_75_4.txt",981580,35665,963232
"M13SKIN8_75_4.txt",794036,27399,792809
"M13SKIN9_75_4.txt",872065,30961,852648
"M14BM1_75_4.txt",762581,24896,756680
