True_FP,Est_FP,Total_parasites,Barcode_number,Bottleneck_prob
5,4.130434783,50000000,20,0.0000001
9,8.597765363,50000000,20,0.0000001
5,4.130434783,50000000,20,0.0000001
10,10.55555556,50000000,20,0.0000001
7,7.106870229,50000000,20,0.0000001
8,8.941176471,50000000,20,0.0000001
6,8.142857143,50000000,20,0.0000001
3,1.879120879,50000000,20,0.0000001
6,5.516129032,50000000,20,0.0000001
6,5.516129032,50000000,20,0.0000001
6,5.516129032,50000000,20,0.0000001
8,12.66666667,50000000,20,0.0000001
5,3.064516129,50000000,20,0.0000001
3,3.352941176,50000000,20,0.0000001
2,2.111111111,50000000,20,0.0000001
3,1.879120879,50000000,20,0.0000001
5,6.333333333,50000000,20,0.0000001
6,8.142857143,50000000,20,0.0000001
5,6.333333333,50000000,20,0.0000001
3,3.352941176,50000000,20,0.0000001
7,7.106870229,50000000,20,0.0000001
3,1.879120879,50000000,20,0.0000001
5,5.8,49999980,30,0.0000001
4,4.461538462,49999980,30,0.0000001
8,5.213483146,49999980,30,0.0000001
6,7.25,49999980,30,0.0000001
4,4.461538462,49999980,30,0.0000001
2,2.071428571,49999980,30,0.0000001
3,3.222222222,49999980,30,0.0000001
7,6.429864253,49999980,30,0.0000001
9,9.43373494,49999980,30,0.0000001
9,4.278688525,49999980,30,0.0000001
4,2.829268293,49999980,30,0.0000001
4,4.461538462,49999980,30,0.0000001
7,6.429864253,49999980,30,0.0000001
3,3.222222222,49999980,30,0.0000001
3,3.222222222,49999980,30,0.0000001
6,7.25,49999980,30,0.0000001
6,7.25,49999980,30,0.0000001
5,5.8,49999980,30,0.0000001
3,3.222222222,49999980,30,0.0000001
7,8.826086957,49999980,30,0.0000001
2,2.071428571,49999980,30,0.0000001
8,7.86440678,49999980,30,0.0000001
9,12.42857143,49999980,30,0.0000001
1,1,49999980,30,0.0000001
4,4.461538462,49999980,30,0.0000001
8,10.54545455,49999980,30,0.0000001
7,6.429864253,49999980,30,0.0000001
8,5.213483146,49999980,30,0.0000001
2,2.071428571,49999980,30,0.0000001
4,4.461538462,49999980,30,0.0000001
2,2.071428571,49999980,30,0.0000001
7,6.429864253,49999980,30,0.0000001
2,2.071428571,49999980,30,0.0000001
6,7.25,49999980,30,0.0000001
4,4.461538462,49999980,30,0.0000001
6,7.25,49999980,30,0.0000001
4,4.461538462,49999980,30,0.0000001
2,2.071428571,49999980,30,0.0000001
6,7.25,49999980,30,0.0000001
5,3.918918919,49999980,30,0.0000001
2,2.071428571,49999980,30,0.0000001
8,7.86440678,49999980,30,0.0000001
6,7.25,49999980,30,0.0000001
5,5.8,49999980,30,0.0000001
1,1,49999980,30,0.0000001
4,4.461538462,49999980,30,0.0000001
5,5.8,49999980,30,0.0000001
3,1.85106383,49999980,30,0.0000001
5,5.8,49999980,30,0.0000001
5,5.8,49999980,30,0.0000001
2,2.071428571,49999980,30,0.0000001
5,5.8,49999980,30,0.0000001
5,2.959183673,49999980,30,0.0000001
4,4.461538462,49999980,30,0.0000001
6,7.25,49999980,30,0.0000001
8,7.86440678,49999980,30,0.0000001
8,10.54545455,49999980,30,0.0000001
5,5.8,49999980,30,0.0000001
3,3.222222222,49999980,30,0.0000001
3,3.222222222,49999980,30,0.0000001
1,1,49999980,30,0.0000001
6,7.25,49999980,30,0.0000001
2,2.071428571,49999980,30,0.0000001
8,7.86440678,49999980,30,0.0000001
1,1,49999980,30,0.0000001
7,8.826086957,49999980,30,0.0000001
6,5.117647059,49999980,30,0.0000001
4,4.461538462,49999980,30,0.0000001
8,6.27027027,49999980,30,0.0000001
3,3.222222222,49999980,30,0.0000001
5,3.918918919,49999980,30,0.0000001
2,2.071428571,49999980,30,0.0000001
5,5.8,49999980,30,0.0000001
3,3.222222222,49999980,30,0.0000001
4,4.461538462,49999980,30,0.0000001
5,5.8,49999980,30,0.0000001
3,3.222222222,49999980,30,0.0000001
7,6.429864253,49999980,30,0.0000001
6,7.25,49999980,30,0.0000001
3,3.222222222,49999980,30,0.0000001
7,5.056939502,49999980,30,0.0000001
6,7.25,49999980,30,0.0000001
10,7.631578947,49999980,30,0.0000001
3,3.222222222,49999980,30,0.0000001
2,2.071428571,49999980,30,0.0000001
6,3.954545455,49999980,30,0.0000001
5,5.8,49999980,30,0.0000001
